number,category
557,Computers & Electronics
559,CAD & CAM
560,Computer Hardware
562,Computer Components
564,Chips & Processors
565,Computer Memory
566,Sound & Video Cards
567,Computer Drives & Storage
569,CD & DVD Drives & Burners
570,CD & DVD Storage Media
571,Computer Memory
572,Data Backup & Recovery
573,Flash Drives & Memory Cards
574,Hard Drives
575,Memory Card Readers
576,Network Storage
577,Computer Peripherals
579,Computer Monitors & Displays
580,Input Devices
581,"Printers, Copiers & Fax"
583,Copiers
584,Fax Machines
585,Ink & Toner
586,Printers
587,Scanners
588,Computer Servers
589,Desktop Computers
590,Hardware Modding & Tuning
591,Laptops & Notebooks
593,Tablet PCs
594,Computer Security
596,Antivirus & Malware
597,Network Security
598,Consumer Electronics
600,Audio Equipment
602,Headphones
603,MP3 & Portable Media Players
604,Speakers
605,Stereo Systems & Components
606,Camera & Photo Equipment
608,"Binoculars, Telescopes & Optical Devices"
609,Cameras & Camcorders
611,Camcorders
612,Camera Lenses
613,Cameras
614,Car Electronics
616,Car Audio
617,Car Video
618,GPS & Navigation
619,Electronic Accessories
620,Gadgets & Portable Electronics
622,E-Book Readers
623,Handheld Game Consoles
624,MP3 & Portable Media Players
625,PDAs & Handhelds
626,Game Systems & Consoles
628,Handheld Game Consoles
629,Nintendo
630,Sony PlayStation
631,Xbox
632,GPS & Navigation
633,TV & Video Equipment
635,DVRs & Set-Top Boxes
636,Home Theater Systems
637,Projectors & Screens
638,Televisions
640,HDTVs
641,LCD TVs
642,Plasma TVs
643,Projection TVs
644,Video Players & Recorders
646,Blu-Ray Players & Recorders
647,DVD Players & Recorders
648,Electronics & Electrical
650,Data Sheets & Electronics Reference
651,Electromechanical Devices
652,Electronic Components
653,Optoelectronics & Fiber
654,Power Supplies
655,Test & Measurement
656,Enterprise Technology
658,Customer Relationship Management (CRM)
659,Data Management
660,E-Commerce Services
662,Merchant Services & Payment Systems
663,Enterprise Resource Planning (ERP)
664,Networking
666,Data Formats & Protocols
667,Distributed & Parallel Computing
668,Network Monitoring & Management
669,Networking Equipment
670,VPN & Remote Access
671,Programming
673,C & C++
674,Developer Jobs
675,Development Tools
676,Java
677,Scripting Languages
678,Windows & .NET
679,Software
681,Business & Productivity Software
683,Accounting & Financial Software
684,Calendar & Scheduling Software
685,Presentation Software
686,Project Management Software
687,Spreadsheet Software
688,Word Processing Software
689,Device Drivers
690,Educational Software
691,Freeware & Shareware
692,Internet Software
694,Content Management
695,Internet Clients & Browsers
696,Proxying & Filtering
697,Mobile Apps & Add-Ons
699,Ringtones & Mobile Goodies
700,Multimedia Software
702,Audio & Music Software
704,Audio Files Formats & Codecs
705,Desktop Publishing
707,Fonts
708,Graphics & Animation Software
709,Media Players
710,Photo & Video Software
712,Video File Formats & Codecs
713,Open Source
714,Operating Systems
716,Linux & Unix
717,Mac OS
718,Mobile OS
719,Windows OS
720,Software Utilities
721,Web Apps & Online Tools
722,Technical Support
