number,category
100,canada covid19
53,covid19 cases
50,covid19 ontario
26,covid19 news
26,alberta covid19
24,covid19 update
24,covid19 bc
23,quebec covid19
23,covid 19 canada
23,covid19 in canada
23,covid19 quebec
16,covid19 in ontario
16,covid19 symptoms
16,covid19 cases canada
16,covid19 toronto
15,covid19 map
15,usa covid19
13,covid19 world
13,covid19 italy
13,who covid19
12,covid 19 ontario
10,ottawa covid19
10,us covid19
10,ontario covid19 cases
10,covid19 china
100,coronavirus update
77,corona virus canada
75,canada corona virus update
38,coronavirus update canada
25,corona virus update ontario
24,update on corona virus
22,bc corona virus update
21,corona virus ontario
21,corona virus bc
21,corona virus news
19,corona virus update in canada
19,corona virus in canada
15,corona virus update alberta
13,corona virus update live
13,covid update
12,corona virus world update
12,covid 19 update
12,corona virus update world
11,corona virus update china
11,corona virus china update
11,corona virus italy update
10,corona virus latest update
10,vancouver corona virus update
10,corona virus toronto
9,toronto corona virus update
