number,category
1,Energy.sector
2,Business.sector
3,Business.industries
4,Industrial.production
5,manufacturing.industries
6,Durable.good
7,Information
8,communication.technology
9,technology.sector
11,Public.Sector
12,Content
13,media
14,Cannabis
15,Agriculture
16,forestry
17,fishing.and.hunting
18,Mining
19,oil.extraction
20,gas.extraction
21,Utilities
22,Construction
23,Manufacturing
24,Wholesale.trade
25,Retail.trade
26,Transportation
27,warehousing
28,cultural.industries
29,cultural
30,Finance
31,insurance
32,Real.estate
33,rental
34,leasing
35,Professional
36,scientific
37,technical.services
38,Management.companies
39,Management.enterprises
40,Administrative.support
41,waste.management
42,Educational.services
43,Health.care
44,social.assistance
45,Arts
46,entertainment
47,recreation
48,Accommodation
49,food.services
50,Public.administration
51,perishable
52,export
53,import
54,trade.balance
55,US.industrial
56,US..Shipment
57,Building.Permits
58,Consumer.confidence.index
59,inflation
60,employment
61,US.employment
62,gdp.growth
63,Price.Index
64,Housing.starts
65,US.Retail
66,Shipment
67,US.Shipment
68,Inventories
69,retail.trade
70,US.retail
71,US.housing
72,consumption
73,expenditure
74,Services
75,investment
76,Residential
77,Machinery
78,equipment
79,Intellectual.property
80,Farm
