"","canada covid19","covid19 cases","covid19 ontario","covid19 news","alberta covid19","covid19 update","covid19 bc","quebec covid19","covid 19 canada","covid19 in canada","covid19 quebec","covid19 in ontario","covid19 symptoms","covid19 cases canada","covid19 toronto","covid19 map","usa covid19","covid19 world","covid19 italy","who covid19","covid 19 ontario","ottawa covid19","us covid19","ontario covid19 cases","covid19 china","coronavirus update","corona virus canada","canada corona virus update","coronavirus update canada","corona virus update ontario","update on corona virus","bc corona virus update","corona virus ontario","corona virus bc","corona virus news","corona virus update in canada","corona virus in canada","corona virus update alberta","corona virus update live","covid update","corona virus world update","covid 19 update","corona virus update world","corona virus update china","corona virus china update","corona virus italy update","corona virus latest update","vancouver corona virus update","corona virus toronto","toronto corona virus update"
"1",0,0,"0",0,"0",0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","0",0,0,0,0,0,"0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,"0",0
"2",0,0,"0",0,"0",0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","0",0,0,0,0,0,"0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,"0",0
"3",0,0,"0",0,"0",0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","0",0,0,0,0,0,"0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,"0",0
"4",0,0,"0",0,"0",0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","0",0,0,0,0,0,"0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,"0",0
"5",0,0,"0",0,"0",0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","0",0,0,0,0,0,"0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,"0",0
"6",0,0,"0",0,"0",0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","0",0,0,0,0,0,"0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,"0",0
"7",0,0,"0",0,"0",0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","0",0,0,0,0,0,"0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,"0",0
"8",0,0,"0",0,"0",0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","0",0,0,0,0,0,"0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,"0",0
"9",0,0,"0",0,"0",0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","0",0,0,0,0,0,"0","2","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,"0",0
"10",0,0,"0",0,"0",0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0,0,"0","0",0,0,0,0,0,"0","0","0",0,"0",0,0,0,0,0,0,0,0,0,0,0,"0",0
