number,category,
783,Games,
785,Arcade & Coin-Op Games,
786,Board Games,
788,Chess & Abstract Strategy Games,
789,Miniatures & Wargaming,
790,Card Games,
792,Collectible Card Games,
793,Poker & Casino Games,
794,Computer & Video Games,
796,Action & Platform Games,
797,Adventure Games,
798,Casual Games,
799,Driving & Racing Games,
800,Fighting Games,
801,Game Systems & Consoles,
803,Handheld Game Consoles,
804,Nintendo,
805,Sony PlayStation,
806,Xbox,
807,Gaming Media & Reference,
809,Game Cheats & Hints,
810,Music & Dance Games,
811,Shooter Games,
812,Simulation Games,
813,Sports Games,
814,Strategy Games,
815,Video Game Emulation,
816,Video Game Retailers,
817,Family-Oriented Games & Activities,
819,Drawing & Coloring,
820,Dress-Up & Fashion Games,
821,Online Games,
823,Massive Multiplayer,
824,Party Games,
825,Puzzles & Brainteasers,
826,Roleplaying Games,
827,Table Games,
829,Billiards,
830,Table Tennis,
