number,category
960,Hobbies & Leisure
962,Antiques & Collectibles
963,Bowling
964,Clubs & Nightlife
965,Clubs & Organizations
966,"Contests, Awards & Prizes"
968,Film & TV Awards
969,Lottery & Sweepstakes
970,Crafts
972,Fiber & Textile Arts
973,Cycling
975,Bicycles & Accessories
976,Outdoors
978,Equestrian
979,Fishing
980,Hiking & Camping
981,Hunting & Shooting
982,Paintball
983,Pets & Animals
985,Animal Products & Services
987,Animal Welfare
988,Pet Food & Supplies
989,Veterinarians
990,Pets
992,Birds
993,Cats
994,Dogs
995,Exotic Pets
996,Fish & Aquaria
997,Horses
998,Rabbits & Rodents
999,Reptiles & Amphibians
1000,Wildlife
1002,Insects & Entomology
1003,Zoos-Aquariums-Preserves
1004,Photographic & Digital Arts
1006,Camera & Photo Equipment
1008,"Binoculars, Telescopes & Optical Devices"
1009,Cameras & Camcorders
1011,Camcorders
1012,Camera Lenses
1013,Cameras
1014,Photo & Video Software
1016,Video File Formats & Codecs
1017,Radio Control & Modeling
1018,Recreational Aviation
1020,Personal Aircraft
1021,Running & Walking
1022,Special Occasions
1024,Gifts & Special Event Items
1026,Cards & Greetings
1027,Flowers
1028,Gifts
1029,Party & Holiday Supplies
1030,Holidays & Seasonal Events
1032,Birthdays & Name Days
1033,Carnival & Mardi Gras
1034,Christian Holidays
1036,Christmas
1037,Easter
1038,Halloween & October 31st
1039,Islamic Holidays
1040,Jewish Holidays
1041,New Year
1042,Thanksgiving
1043,Valentine's Day
1044,Weddings
1045,Subcultures & Niche Interests
1047,Goth Subculture
1048,Science Fiction & Fantasy
1049,Water Activities
1051,Boating
1053,Boats & Watercraft
1054,Diving & Underwater Activities
1055,Surf & Swim
1056,Water Sports
