number,category
1057,Home & Garden
1059,Bed & Bath
1061,Bathroom
1062,Bedroom
1064,Bedding & Bed Linens
1065,Beds & Headboards
1066,Mattresses
1067,Domestic Services
1069,Cleaning Supplies & Services
1070,Gardening & Landscaping
1071,Home Appliances
1073,Major Kitchen Appliances
1074,Small Kitchen Appliances
1075,Water Filters & Purifiers
1076,Home Furnishings
1078,Clocks
1079,Lamps & Lighting
1080,Rugs & Carpets
1081,Sofas & Chairs
1082,Home Improvement
1084,Construction & Power Tools
1085,Doors & Windows
1086,Flooring
1088,Rugs & Carpets
1089,House Painting & Finishing
1090,HVAC & Climate Control
1091,Plumbing
1092,Roofing
1093,Home Storage & Shelving
1094,Homemaking & Interior Decor
1095,HVAC & Climate Control
1096,Kitchen & Dining
1098,Cookware & Diningware
1100,Cutlery & Cutting Accessories
1101,Major Kitchen Appliances
1102,Small Kitchen Appliances
1103,Laundry
1104,Nursery & Playroom
1105,Pest Control
1106,Swimming Pools & Spas
1107,Yard & Patio
