number,category
1108,Internet & Telecom
1110,Communications Equipment
1112,Radio Equipment
1113,Email & Messaging
1115,Microblogging
1116,Text & Instant Messaging
1117,Voice & Video Chat
1118,Mobile & Wireless
1120,Mobile & Wireless Accessories
1122,Bluetooth Accessories
1123,Mobile Apps & Add-Ons
1125,Ringtones & Mobile Goodies
1126,Mobile OS
1127,Mobile Phones
1128,Search Engines
1130,People Search
1131,Service Providers
1133,Cable & Satellite Providers
1134,ISPs
1135,Phone Service Providers
1137,Calling Cards
1138,Teleconferencing
1139,Web Apps & Online Tools
1140,Web Portals
1141,Web Services
1143,Affiliate Programs
1144,Search Engine Optimization & Marketing
1145,Web Design & Development
1146,Web Hosting & Domain Registration
1147,Web Stats & Analytics
