number,category
1179,Law & Government
1181,Government
1183,Courts & Judiciary
1184,Embassies & Consulates
1185,Executive Branch
1186,Government Agencies
1187,Government Contracting & Procurement
1188,Intelligence & Counterterrorism
1189,Legislative Branch
1190,Lobbying
1191,Multilateral Organizations
1192,Public Finance
1193,Public Policy
1195,Drug Laws & Policy
1196,Fiscal Policy News
1197,Health Policy
1198,Immigration Policy & Border Issues
1199,International Relations
1200,Royalty
1201,State & Local Government
1202,Visa & Immigration
1203,Legal
1205,Accident & Personal Injury Law
1206,Bankruptcy
1207,Business & Corporate Law
1208,Constitutional Law & Civil Rights
1209,Criminal Law
1210,Family Law
1211,Intellectual Property
1212,Labor & Employment Law
1213,Legal Education
1214,Legal Services
1215,Product Liability
1216,Vehicle Codes & Driving Laws
1218,Drunk Driving Law
1219,Military
1221,Air Force
1222,Army
1223,Marines
1224,Military History
1225,Navy
1226,Veterans
1227,Public Safety
1229,Crime & Justice
1231,Corporate & Financial Crime
1232,Gangs & Organized Crime
1233,Prisons & Corrections
1234,Emergency Services
1235,Law Enforcement
1237,Intelligence & Counterterrorism
1238,Public Health
1240,Health Policy
1241,Occupational Health & Safety
1242,Poisons & Overdoses
1243,Vaccines & Immunizations
1244,Security Products & Services
1245,Social Services
1247,Counseling Services
1248,Welfare & Unemployment
