number,category
1249,News
1251,Broadcast & Network News
1252,Business News
1254,Company News
1256,Company Earnings
1257,Mergers & Acquisitions
1258,Economy News
1259,Financial Markets
1260,Fiscal Policy News
1261,Celebrities & Entertainment News
1262,Gossip & Tabloid News
1264,Scandals & Investigations
1265,Health News
1267,Health Policy
1268,Journalism & News Industry
1269,Local News
1270,Newspapers
1271,Politics
1273,Campaigns & Elections
1274,Left-Wing Politics
1275,Media Critics & Watchdogs
1276,Opinion & Commentary
1277,Political Polls & Surveys
1278,Right-Wing Politics
1279,Sports News
1280,Technology News
1281,Weather
1282,World News
