number,category
1283,Online Communities
1285,Blogging Resources & Services
1287,Microblogging
1288,Dating & Personals
1290,Matrimonial Services
1291,Personals
1292,Photo Rating Sites
1293,File Sharing & Hosting
1294,Forum & Chat Providers
1295,Online Goodies
1297,Clip Art & Animated GIFs
1298,Skins Themes & Wallpapers
1299,Social Network Apps & Add-Ons
1300,Online Journals & Personal Sites
1301,Photo & Video Sharing
1303,Photo & Image Sharing
1304,Video Sharing
1305,Social Networks
1307,Social Network Apps & Add-Ons
1308,Virtual Worlds
