number,category
1309,People & Society
1311,Disabled & Special Needs
1313,Assistive Technology
1315,Mobility Equipment & Accessories
1316,Ethnic & Identity Groups
1318,Africans & Diaspora
1320,African-Americans
1321,Arabs & Middle Easterners
1322,Asians & Diaspora
1324,East Asians & Diaspora
1325,South Asians & Diaspora
1326,Southeast Asians & Pacific Islanders
1327,Discrimination & Identity Relations
1328,Eastern Europeans
1329,Expatriate Communities
1330,Gay-Lesbian-Bisexual-Transgender
1331,Indigenous Peoples
1333,Native Americans
1334,Jewish Culture
1336,Jewish Holidays
1337,Latinos & Latin-Americans
1338,Western Europeans
1339,Family & Relationships
1341,Etiquette
1342,Family
1344,Ancestry & Genealogy
1345,Baby & Pet Names
1346,Parenting
1348,Adoption
1349,Babies & Toddlers
1351,Baby Care & Hygiene
1352,Child Care
1353,Pregnancy & Maternity
1354,Youth Camps
1355,Friendship
1356,Marriage
1358,Divorce & Separation
1359,Weddings
1360,Romance
1361,Troubled Relationships
1363,Divorce & Separation
1364,Kids & Teens
1366,Children's Interests
1368,Children's Literature
1369,Family Films
1370,Family-Oriented Games & Activities
1372,Drawing & Coloring
1373,Dress-Up & Fashion Games
1374,TV Family-Oriented Shows
1375,Teen Interests
1376,Religion & Belief
1378,Astrology & Divination
1379,Buddhism
1380,Christianity
1382,Christian Holidays
1384,Christmas
1385,Easter
1386,Hinduism
1387,Islam
1389,Islamic Holidays
1390,Judaism
1391,Occult & Paranormal
1392,Pagan & Esoteric Traditions
1393,Places of Worship
1394,Scientology
1395,Self-Help & Motivational
1396,Skeptics & Non-Believers
1397,Spirituality
1398,Theology & Religious Study
1399,Seniors & Retirement
1400,Social Issues & Advocacy
1402,Animal Welfare
1403,Charity & Philanthropy
1404,Discrimination & Identity Relations
1405,Drug Laws & Policy
1406,Environmental Issues
1408,Climate Change & Global Warming
1409,Health Policy
1410,Housing & Development
1411,Human Rights & Liberties
1412,Immigration Policy & Border Issues
1413,Media Critics & Watchdogs
1414,Poverty & Hunger
1415,Privacy Issues
1416,Reproductive Rights
1417,Same-Sex Marriage
1418,Work & Labor Issues
1420,Labor & Employment Law
1421,Unions & Labor Movement
1422,Social Sciences
1424,Communications & Media Studies
1426,Public Speaking
1427,Demographics
1428,Economics
1429,International Relations
1430,Psychology
1431,Subcultures & Niche Interests
1433,Goth Subculture
1434,Science Fiction & Fantasy
