number,category
1466,Reference
1468,Directories & Listings
1470,Business & Personal Listings
1471,General Reference
1473,Biographies & Quotations
1474,Calculators & Reference Tools
1475,Dictionaries & Encyclopedias
1476,Educational Resources
1477,Forms Guides & Templates
1479,Legal Forms
1480,"How-To, DIY & Expert Content"
1481,Public Records
1482,Time & Calendars
1483,Geographic Reference
1485,City & Local Guides
1486,Maps
1488,Traffic & Public Transit
1489,Humanities
1491,History
1493,Military History
1494,Myth & Folklore
1495,Philosophy
1496,Language Resources
1498,Dictionaries & Encyclopedias
1499,Foreign Language Resources
1501,Foreign Language Study
1502,Translation Tools & Resources
1503,Libraries & Museums
1504,Social Sciences
1506,Communications & Media Studies
1508,Public Speaking
1509,Demographics
1510,Economics
1511,International Relations
1512,Psychology
1513,Technical Reference
1515,Data Sheets & Electronics Reference
1516,Technical Support
