number,category
1517,Science
1519,Astronomy
1520,Biological Sciences
1522,Anatomy
1523,Flora & Fauna
1525,Insects & Entomology
1526,Genetics
1527,Neuroscience
1528,Chemistry
1529,Computer Science
1531,Computer Education
1532,Distributed & Parallel Computing
1533,Machine Learning & Artificial Intelligence
1534,Programming
1536,C & C++
1537,Developer Jobs
1538,Development Tools
1539,Java
1540,Scripting Languages
1541,Windows & .NET
1542,Earth Sciences
1544,Atmospheric Science
1546,Climate Change & Global Warming
1547,Geology
1548,Paleontology
1549,Water & Marine Sciences
1550,Ecology & Environment
1552,Climate Change & Global Warming
1553,Engineering & Technology
1555,CAD & CAM
1556,Robotics
1558,Mathematics
1560,Statistics
1561,Physics
1562,Scientific Equipment
1563,Scientific Institutions
