number,category
1564,Shopping
1566,Antiques & Collectibles
1567,Apparel
1569,Apparel Services
1570,Athletic Apparel
1571,Casual Apparel
1573,T-Shirts
1574,Children's Clothing
1575,Clothing Accessories
1577,Gems & Jewelry
1578,Handbags & Purses
1579,Watches
1580,Costumes
1581,Eyewear
1583,Eyeglasses & Contacts
1584,Footwear
1585,Formal Wear
1586,Headwear
1587,Men's Clothing
1588,Outerwear
1589,Sleepwear
1590,Swimwear
1591,Undergarments
1592,Uniforms & Workwear
1593,Women's Clothing
1594,Auctions
1595,Classifieds
1596,Consumer Electronics
1598,Audio Equipment
1600,Headphones
1601,MP3 & Portable Media Players
1602,Speakers
1603,Stereo Systems & Components
1604,Camera & Photo Equipment
1606,"Binoculars, Telescopes & Optical Devices"
1607,Cameras & Camcorders
1609,Camcorders
1610,Camera Lenses
1611,Cameras
1612,Car Electronics
1614,Car Audio
1615,Car Video
1616,GPS & Navigation
1617,Electronic Accessories
1618,Gadgets & Portable Electronics
1620,E-Book Readers
1621,Handheld Game Consoles
1622,MP3 & Portable Media Players
1623,PDAs & Handhelds
1624,Game Systems & Consoles
1626,Handheld Game Consoles
1627,Nintendo
1628,Sony PlayStation
1629,Xbox
1630,GPS & Navigation
1631,TV & Video Equipment
1633,DVRs & Set-Top Boxes
1634,Home Theater Systems
1635,Projectors & Screens
1636,Televisions
1638,HDTVs
1639,LCD TVs
1640,Plasma TVs
1641,Projection TVs
1642,Video Players & Recorders
1644,Blu-Ray Players & Recorders
1645,DVD Players & Recorders
1646,Consumer Resources
1648,Consumer Advocacy & Protection
1649,Coupons & Discount Offers
1650,Customer Services
1652,Loyalty Cards & Programs
1653,Technical Support
1654,Warranties & Service Contracts
1655,Product Reviews & Price Comparisons
1657,Price Comparisons
1658,"Vehicle Specs, Reviews & Comparisons"
1659,Entertainment Media
1661,Book Retailers
1662,CD & Audio Shopping
1663,DVD & Video Shopping
1665,DVD & Video Rentals
1666,Entertainment Media Rentals
1668,DVD & Video Rentals
1669,Video Game Retailers
1670,Gifts & Special Event Items
1672,Cards & Greetings
1673,Flowers
1674,Gifts
1675,Party & Holiday Supplies
1676,Luxury Goods
1677,Mass Merchants & Department Stores
1678,Photo & Video Services
1680,Stock Photography
1681,Shopping Portals & Search Engines
1682,Sporting Goods
1684,Bicycles & Accessories
1685,Sports Memorabilia
1686,Swap Meets & Outdoor Markets
1687,Ticket Sales
1688,Tobacco Products
1689,Toys
1690,Wholesalers & Liquidators
