number,category
1691,Sports
1693,College Sports
1694,Combat Sports
1696,Boxing
1697,Martial Arts
1698,Wrestling
1699,Extreme Sports
1701,Drag & Street Racing
1702,Stunts & Dangerous Feats
1703,Fantasy Sports
1704,Individual Sports
1706,Bowling
1707,Cycling
1709,Bicycles & Accessories
1710,Golf
1711,Gymnastics
1712,Racquet Sports
1714,Tennis
1715,Running & Walking
1716,Skate Sports
1717,Track & Field
1718,Live Sporting Events
1719,Motor Sports
1721,Drag & Street Racing
1722,Sporting Goods
1724,Bicycles & Accessories
1725,Sports Memorabilia
1726,Sports Coaching & Training
1728,Team Sports
1730,American Football
1731,Baseball
1732,Basketball
1733,Cheerleading
1734,Cricket
1735,Handball
1736,Hockey
1737,Rugby
1738,Soccer
1739,Volleyball
1740,Water Sports
1741,Winter Sports
1743,Ice Skating
1744,Skiing & Snowboarding
1745,World Sports Competitions
1747,Olympics
