number,category
1748,Travel
1750,Air Travel
1752,Airport Parking & Transportation
1753,Recreational Aviation
1755,Personal Aircraft
1756,Bus & Rail
1757,Car Rental & Taxi Services
1758,Carpooling & Ridesharing
1759,Cruises & Charters
1760,Hotels & Accommodations
1761,Luggage & Travel Accessories
1762,Specialty Travel
1764,Adventure Travel
1765,Agritourism
1766,Ecotourism
1767,Sightseeing Tours
1768,Vineyards & Wine Tourism
1769,Tourist Destinations
1771,Beaches & Islands
1772,Historical Sites & Buildings
1773,Lakes & Rivers
1774,Mountain & Ski Resorts
1775,Regional Parks & Gardens
1776,Theme Parks
1777,Zoos-Aquariums-Preserves
1778,Travel Agencies & Services
1780,Tourist Boards & Visitor Centers
1781,Vacation Offers
1782,Travel Guides & Travelogues
