date,actual,predicted,sstart,inner_idx
2011-06-01,0.003440701,0.0015287149794232415,0,0
2011-07-01,0.007164162,0.0013672424173660493,0,1
2011-08-01,0.005510649,0.000917552836811901,0,2
2011-09-01,0.001541758,0.0014732692182633511,0,3
2011-10-01,0.000195946,0.0019757008145803207,0,4
2011-11-01,0.000748019,0.0018073333210997134,0,5
2011-12-01,0.00461494,0.001381109015657769,0,6
2012-01-01,-0.000622397,0.0012436086147946496,0,7
2012-02-01,-0.002631852,0.0012911669984396158,0,8
2012-03-01,0.002450932,0.001745376174869014,0,9
2012-04-01,0.003396772,0.0011290636741115821,0,10
2011-09-01,0.001541758,0.0014732692182633511,3,0
2011-10-01,0.000195946,0.0019757008145803207,3,1
2011-11-01,0.000748019,0.0018073333210997134,3,2
2011-12-01,0.00461494,0.001381109015657769,3,3
2012-01-01,-0.000622397,0.0012436086147946496,3,4
2012-02-01,-0.002631852,0.0012911669984396158,3,5
2012-03-01,0.002450932,0.001745376174869014,3,6
2012-04-01,0.003396772,0.0011290636741115821,3,7
2012-05-01,0.001564307,0.0008942071669040848,3,8
2012-06-01,0.000489148,0.0015203933554458799,3,9
2012-07-01,0.001955952,0.0015169534409039823,3,10
2011-12-01,0.00461494,0.001381109015657769,6,0
2012-01-01,-0.000622397,0.0012436086147946496,6,1
2012-02-01,-0.002631852,0.0012911669984396158,6,2
2012-03-01,0.002450932,0.001745376174869014,6,3
2012-04-01,0.003396772,0.0011290636741115821,6,4
2012-05-01,0.001564307,0.0008942071669040848,6,5
2012-06-01,0.000489148,0.0015203933554458799,6,6
2012-07-01,0.001955952,0.0015169534409039823,6,7
2012-08-01,-0.001295953,0.0012918209959247719,6,8
2012-09-01,-9.46e-05,0.0011477486364641647,6,9
2012-10-01,-0.000412342,0.0013350218413569854,6,10
2012-03-01,0.002450932,0.001745376174869014,9,0
2012-04-01,0.003396772,0.0011290636741115821,9,1
2012-05-01,0.001564307,0.0008942071669040848,9,2
2012-06-01,0.000489148,0.0015203933554458799,9,3
2012-07-01,0.001955952,0.0015169534409039823,9,4
2012-08-01,-0.001295953,0.0012918209959247719,9,5
2012-09-01,-9.46e-05,0.0011477486364641647,9,6
2012-10-01,-0.000412342,0.0013350218413569854,9,7
2012-11-01,0.004788092,0.000834608277285726,9,8
2012-12-01,-5.12e-05,0.001014773120093478,9,9
2013-01-01,0.004900913,0.000922472840182463,9,10
2012-06-01,0.000489148,0.0015203933554458799,12,0
2012-07-01,0.001955952,0.0015169534409039823,12,1
2012-08-01,-0.001295953,0.0012918209959247719,12,2
2012-09-01,-9.46e-05,0.0011477486364641647,12,3
2012-10-01,-0.000412342,0.0013350218413569854,12,4
2012-11-01,0.004788092,0.000834608277285726,12,5
2012-12-01,-5.12e-05,0.001014773120093478,12,6
2013-01-01,0.004900913,0.000922472840182463,12,7
2013-02-01,0.004478509,0.001508039062401678,12,8
2013-03-01,0.004021497,0.0009198877542913424,12,9
2013-04-01,0.001115173,0.0015078578456868906,12,10
2012-09-01,-9.46e-05,0.0011477486364641647,15,0
2012-10-01,-0.000412342,0.0013350218413569854,15,1
2012-11-01,0.004788092,0.000834608277285726,15,2
2012-12-01,-5.12e-05,0.001014773120093478,15,3
2013-01-01,0.004900913,0.000922472840182463,15,4
2013-02-01,0.004478509,0.001508039062401678,15,5
2013-03-01,0.004021497,0.0009198877542913424,15,6
2013-04-01,0.001115173,0.0015078578456868906,15,7
2013-05-01,0.002642206,0.0014873809395236116,15,8
2013-06-01,-0.003937529,0.0014464996927399504,15,9
2013-07-01,0.005422384,0.0011654333819264553,15,10
2012-12-01,-5.12e-05,0.001014773120093478,18,0
2013-01-01,0.004900913,0.000922472840182463,18,1
2013-02-01,0.004478509,0.001508039062401678,18,2
2013-03-01,0.004021497,0.0009198877542913424,18,3
2013-04-01,0.001115173,0.0015078578456868906,18,4
2013-05-01,0.002642206,0.0014873809395236116,18,5
2013-06-01,-0.003937529,0.0014464996927399504,18,6
2013-07-01,0.005422384,0.0011654333819264553,18,7
2013-08-01,0.004718599,0.0013522842836385998,18,8
2013-09-01,0.003267402,0.000619493884319391,18,9
2013-10-01,0.005577829,0.0015926490567102578,18,10
2013-03-01,0.004021497,0.0009198877542913424,21,0
2013-04-01,0.001115173,0.0015078578456868906,21,1
2013-05-01,0.002642206,0.0014873809395236116,21,2
2013-06-01,-0.003937529,0.0014464996927399504,21,3
2013-07-01,0.005422384,0.0011654333819264553,21,4
2013-08-01,0.004718599,0.0013522842836385998,21,5
2013-09-01,0.003267402,0.000619493884319391,21,6
2013-10-01,0.005577829,0.0015926490567102578,21,7
2013-11-01,0.001496985,0.0015960561991190708,21,8
2013-12-01,-0.004847856,0.001540182515122712,21,9
2014-01-01,0.002806315,0.00179924699734961,21,10
2013-06-01,-0.003937529,0.0014464996927399504,24,0
2013-07-01,0.005422384,0.0011654333819264553,24,1
2013-08-01,0.004718599,0.0013522842836385998,24,2
2013-09-01,0.003267402,0.000619493884319391,24,3
2013-10-01,0.005577829,0.0015926490567102578,24,4
2013-11-01,0.001496985,0.0015960561991190708,24,5
2013-12-01,-0.004847856,0.001540182515122712,24,6
2014-01-01,0.002806315,0.00179924699734961,24,7
2014-02-01,0.005900511,0.0013730104437961485,24,8
2014-03-01,0.001173027,0.0005939470417050864,24,9
2014-04-01,0.003443963,0.0014180149422916974,24,10
2013-09-01,0.003267402,0.000619493884319391,27,0
2013-10-01,0.005577829,0.0015926490567102578,27,1
2013-11-01,0.001496985,0.0015960561991190708,27,2
2013-12-01,-0.004847856,0.001540182515122712,27,3
2014-01-01,0.002806315,0.00179924699734961,27,4
2014-02-01,0.005900511,0.0013730104437961485,27,5
2014-03-01,0.001173027,0.0005939470417050864,27,6
2014-04-01,0.003443963,0.0014180149422916974,27,7
2014-05-01,0.003637652,0.0017087883244607442,27,8
2014-06-01,0.00280792,0.001254295282006373,27,9
2014-07-01,0.000590749,0.0015063932280895832,27,10
