sstart,ssample_start_date,ssample_end_date,mad,mae,rmse,r_sq
0,2004-05-01,2012-08-01,0.0015518088566161751,0.0021161163369560277,0.0030043789315348274,0.3861357979485083
1,2004-06-01,2012-09-01,0.001538817457494158,0.0017936421874019985,0.002314877186442076,0.6228291261080469
2,2004-07-01,2012-10-01,0.0014961795782961764,0.001748654578691346,0.002293195566429228,0.6232859017288992
3,2004-08-01,2012-11-01,0.0013850461119404426,0.0015383039583138712,0.002032445877512341,0.6643785458241087
4,2004-09-01,2012-12-01,0.0010992407988308257,0.0016053693606281022,0.002045501885331528,0.6937912949490788
5,2004-10-01,2013-01-01,0.0007343332778370663,0.0017178489506611255,0.002076602631332216,0.6774379150651471
6,2004-11-01,2013-02-01,0.001320114719402062,0.0018642943110523747,0.002239404180473538,0.6660090465948809
7,2004-12-01,2013-03-01,0.0009845963466502568,0.0018893677654472424,0.0022669875765536345,0.6834068980997066
8,2005-01-01,2013-04-01,0.0016536331291913326,0.002136782437433752,0.002444364864611636,0.6530398186479216
9,2005-02-01,2013-05-01,0.0016536331291913326,0.0018546377092155267,0.002032409210411599,0.747782456763777
10,2005-03-01,2013-06-01,0.0017862688371080386,0.0018115703914427322,0.0020162786760951953,0.7520708118993562
11,2005-04-01,2013-07-01,0.0017862688371080386,0.00228511149354656,0.002757096455398282,0.6033019991196965
12,2005-05-01,2013-08-01,0.0017853705922473845,0.0028428119803553167,0.0032911676787266766,0.4579715330526568
13,2005-06-01,2013-09-01,0.002631716458959183,0.0033896078175633653,0.0037866762493301174,0.32874927691540845
14,2005-07-01,2013-10-01,0.002856368772782831,0.0031549628013695223,0.003657682692606657,0.3398641999934353
15,2005-08-01,2013-11-01,0.0030251147098833368,0.0034212787601547593,0.00391404095539854,0.2846224048320719
16,2005-09-01,2013-12-01,0.004056043078500763,0.0035117810802397964,0.003983724690051501,0.22201582882673343
17,2005-10-01,2014-01-01,0.00465733000786405,0.003886502489853451,0.004312417398635399,0.251550568156821
18,2005-11-01,2014-02-01,0.003948007198881366,0.0040029246637598185,0.004340715154097201,0.24332179534621967
19,2005-12-01,2014-03-01,0.0035993282804122973,0.003439481925674915,0.0038780788474409647,0.3845594723399197
20,2006-01-01,2014-04-01,0.0019994128961550598,0.002901289202374236,0.0034406815150893754,0.46483201716412026
21,2006-02-01,2014-05-01,0.0007090401041735966,0.0024931212171248407,0.0029610208196923678,0.5836174570029988
22,2006-03-01,2014-06-01,0.0008522327520654959,0.002417123007669776,0.0029403216863959315,0.5910563823230901
23,2006-04-01,2014-07-01,0.0008522327520654959,0.0023084713739107195,0.002777863933482032,0.593000511672072
24,2006-05-01,2014-08-01,0.0006537810909916557,0.00210372417117015,0.0025804240244419923,0.6495394619135034
25,2006-06-01,2014-09-01,0.0006537810909916557,0.0019451823181427645,0.0022870672828916093,0.6644145724795705
26,2006-07-01,2014-10-01,0.0008017046167493301,0.002050459756258341,0.0023746201012289753,0.6917817824995331
27,2006-08-01,2014-11-01,0.0007691338308809941,0.002158892176327998,0.0024445568718623827,0.6396929576034508
28,2006-09-01,2014-12-01,0.0009299340208093533,0.002545205932584756,0.0027936168037095465,0.5436423039947963
29,2006-10-01,2015-01-01,0.0019678434809677773,0.002561694565677016,0.0028065410498031794,0.5257772916266445
30,2006-11-01,2015-02-01,0.0031143129805491663,0.003276891443856857,0.003561381590484547,0.3308658274738411
31,2006-12-01,2015-03-01,0.0024453784110465304,0.0031695366852253354,0.0034570331134796887,0.37525211878979425
32,2007-01-01,2015-04-01,0.002049833214198673,0.002972456136376905,0.003400925101676761,0.41252225664377673
33,2007-02-01,2015-05-01,0.002063093785296864,0.002981105872187891,0.00341083910551213,0.39630142451646666
34,2007-03-01,2015-06-01,0.0010323460499625367,0.0030366464789123694,0.0034526223293077384,0.3244318062763514
35,2007-04-01,2015-07-01,0.0010323460499625367,0.003114291422775171,0.0035039301423848983,0.2928450254553515
