sstart,ssample_start_date,ssample_end_date,mad,mae,rmse,r_sq
0,2004-05-01,2012-08-01,0.0011229965330812977,0.0017879710944375545,0.002199820373200302,0.5719027353411801
1,2004-06-01,2012-09-01,0.0014676341624095144,0.0018637771487241233,0.0022349866461932235,0.5992787589352029
2,2004-07-01,2012-10-01,0.0018987537736655747,0.0024372667000482654,0.0026316826586244664,0.42708798399140024
3,2004-08-01,2012-11-01,0.001220175385108951,0.0024609119590010315,0.0026445138994643474,0.4505514603293427
4,2004-09-01,2012-12-01,0.0018987537736655747,0.0023054930516216553,0.0025043139916973095,0.5817798519421795
5,2004-10-01,2013-01-01,0.000574746562555391,0.001964997616502928,0.0020701104881944076,0.7199108899137904
6,2004-11-01,2013-02-01,0.0016262249287755822,0.0021136614788720798,0.0021812968860963518,0.7089408911827979
7,2004-12-01,2013-03-01,0.001806477562914752,0.0015157371501764274,0.0016787678808489995,0.8424538038007467
8,2005-01-01,2013-04-01,0.0011468216385954908,0.0018337176475379396,0.0020668435189843165,0.7721344551454649
9,2005-02-01,2013-05-01,0.0018945315834672236,0.0018004099705005794,0.002036803896944295,0.7458077754241688
10,2005-03-01,2013-06-01,0.0018341871816584484,0.0014830898861197556,0.0018279002801382554,0.795590551854874
11,2005-04-01,2013-07-01,0.0012883963223739978,0.001688201466294822,0.0020871557557390064,0.7715824233296041
12,2005-05-01,2013-08-01,0.002508202227179828,0.002652475169372664,0.003041518499501431,0.5540775267740948
13,2005-06-01,2013-09-01,0.001226377707075097,0.002388488804162352,0.0028236161957536877,0.6335114784699809
14,2005-07-01,2013-10-01,0.002508202227179828,0.002676096428729435,0.003066421348933848,0.5855584267009999
15,2005-08-01,2013-11-01,0.0033369215300393263,0.0029026772547286212,0.0031427099359335716,0.6240267120189189
16,2005-09-01,2013-12-01,0.0033369215300393263,0.0028871371617016825,0.0031280977310453512,0.5365615658923207
17,2005-10-01,2014-01-01,0.0033724067665478396,0.0035859190267070154,0.004375220018638462,0.22396573243537354
18,2005-11-01,2014-02-01,0.0023927021353376847,0.0033963005846604152,0.004319099143332326,0.17876944528063243
19,2005-12-01,2014-03-01,0.0026111912161612587,0.0034399984008251297,0.0043525040850346305,0.27832326575614785
20,2006-01-01,2014-04-01,0.002770144303579948,0.0031454890665189813,0.004292857291285188,0.17249584350317548
21,2006-02-01,2014-05-01,0.0008607400522151292,0.0027079296095705065,0.0041036442263402894,0.27575287033082385
22,2006-03-01,2014-06-01,0.0009517678847840948,0.0014089386440894293,0.001828422479384195,0.8054705069746079
23,2006-04-01,2014-07-01,0.0012260756803537736,0.0017923027491781695,0.002168176731535298,0.724981922343418
24,2006-05-01,2014-08-01,0.0012260756803537736,0.0020976227558368735,0.0026940264106997034,0.43044833832482365
25,2006-06-01,2014-09-01,0.0020078483580126655,0.002725171568251837,0.003066198147355347,0.3501219390481888
26,2006-07-01,2014-10-01,0.0007817726776588919,0.0029745634338589184,0.003173711828267267,0.4487913558235307
27,2006-08-01,2014-11-01,0.0008957682040567879,0.002951764328579339,0.003160100918293044,0.46843450143725585
28,2006-09-01,2014-12-01,0.00327869208935142,0.0026948996298453744,0.0029856266223614336,0.5342625394029195
29,2006-10-01,2015-01-01,0.002266348341008496,0.0017913720366406077,0.002012510482932587,0.7879003699136765
30,2006-11-01,2015-02-01,0.002266348341008496,0.0020357383155475413,0.002439327855395999,0.731532268051706
31,2006-12-01,2015-03-01,0.0010123437483429243,0.001723494270022397,0.002282212853887138,0.7126942841012054
32,2007-01-01,2015-04-01,0.0017873232512311495,0.002003247862346019,0.002574049630590333,0.6201719906770413
33,2007-02-01,2015-05-01,0.0014029414373823487,0.0019082775395433973,0.002529100845556284,0.6350527789616374
34,2007-03-01,2015-06-01,0.002053218148501511,0.0023108433741974937,0.0027486446958785715,0.6139274687769467
35,2007-04-01,2015-07-01,0.001831013097649345,0.0018587481262549183,0.0021234997925198692,0.717997555357857
36,2007-05-01,2015-08-01,0.0019334707006196366,0.0019699423820204215,0.002159084796988388,0.71750797575651
37,2007-06-01,2015-09-01,0.0019334707006196366,0.0019183515762314788,0.002083610289133915,0.7228446448366026
38,2007-07-01,2015-10-01,0.003201549648348937,0.0026609433381204746,0.0029222584495485707,0.6050981354687195
39,2007-08-01,2015-11-01,0.0031337430446447905,0.0023509220353730063,0.0027393088400797603,0.6176186597771076
40,2007-09-01,2015-12-01,0.002071947732758741,0.0021385629729957964,0.00260358407039096,0.6355694182543341
41,2007-10-01,2016-01-01,0.0017979372004562936,0.0022934677223616653,0.002682732306988223,0.5852392094537302
42,2007-11-01,2016-02-01,0.0018122566943508205,0.002296331621140571,0.002685913367383147,0.6465437740477289
43,2007-12-01,2016-03-01,0.0018122566943508205,0.0015694104783549724,0.0017457387104109641,0.8129890794422738
44,2008-01-01,2016-04-01,0.0018122566943508205,0.0020540676432101264,0.0022561108998373647,0.7534692202583226
45,2008-02-01,2016-05-01,0.0012509794544572534,0.002173225589134968,0.002332682623077753,0.7343270313973045
46,2008-03-01,2016-06-01,0.0028208600326966073,0.0032522747574492313,0.0038747179044572103,0.5860715292585006
47,2008-04-01,2016-07-01,0.002270163253962111,0.0028635578570164566,0.0036667945371859556,0.6219756570565371
48,2008-05-01,2016-08-01,0.0030180293683522894,0.0034664842771895575,0.0040653910621741805,0.5837909512978929
