sstart,ssample_start_date,ssample_end_date,mad,mae,rmse,r_sq
0,2004-05-01,2012-08-01,0.0010289091647058826,0.0014523169657754012,0.001867614696661838,0.7414006062168925
1,2004-06-01,2012-09-01,0.001304599741176471,0.0016726469903743317,0.0020274398323736273,0.7086914922642638
2,2004-07-01,2012-10-01,0.001304599741176471,0.00169081904171123,0.0020388431509149097,0.7063702606292348
3,2004-08-01,2012-11-01,0.0013868331058823529,0.0017815251839572192,0.0020906518214186803,0.6958542723384586
4,2004-09-01,2012-12-01,0.0013868331058823529,0.0018121984074866311,0.0021398204260222793,0.685926031207639
5,2004-10-01,2013-01-01,0.0013868331058823529,0.001741131927272727,0.0020862039473983573,0.6967550142225163
6,2004-11-01,2013-02-01,0.0016385034705882354,0.001719896093048128,0.002046407528748324,0.7048317171653344
7,2004-12-01,2013-03-01,0.0017531596588235292,0.0019241288106951872,0.0022534931133781386,0.6632077635215721
8,2005-01-01,2013-04-01,0.0019409276235294118,0.0020063147743315506,0.002341769686731364,0.6458327369653142
9,2005-02-01,2013-05-01,0.001676979105882353,0.0019825426331550803,0.002340429585411423,0.6460945574763319
10,2005-03-01,2013-06-01,0.002237031658823529,0.0020437122213903744,0.0023706681271725124,0.6402021043599073
11,2005-04-01,2013-07-01,0.0026233039176470595,0.0024560521839572186,0.002819784722029868,0.5570662611167703
12,2005-05-01,2013-08-01,0.0022546316352941177,0.002607317079144385,0.002999479382583207,0.5264023254018773
13,2005-06-01,2013-09-01,0.0013685189529411765,0.0028047285112299462,0.0031573328834349538,0.5007824491196068
14,2005-07-01,2013-10-01,0.0008355788470588237,0.0028475933069518713,0.0031832113030432923,0.49670105563617706
15,2005-08-01,2013-11-01,0.0013685189529411765,0.002921965096256684,0.003274616453090226,0.48255298521461365
16,2005-09-01,2013-12-01,0.0013685189529411765,0.0028355682909090908,0.003255349068519977,0.4855005843306762
17,2005-10-01,2014-01-01,0.0018967767176470585,0.0030512171433155076,0.0035677145357640855,0.43997455698285115
18,2005-11-01,2014-02-01,0.0015021009882352939,0.002881134185026738,0.003452990023505808,0.45613903634595165
19,2005-12-01,2014-03-01,0.0020464346823529417,0.0030272711144385027,0.0036071421168855523,0.43456581228764357
20,2006-01-01,2014-04-01,0.0020464346823529417,0.0030380268695187167,0.003607322165450362,0.434541283258961
21,2006-02-01,2014-05-01,0.002138725905882353,0.0031016345711229946,0.003639809441482139,0.43014059182966924
22,2006-03-01,2014-06-01,0.0019476155999999998,0.002849622814973262,0.0033732835005288175,0.46774781577307856
23,2006-04-01,2014-07-01,0.001397588847058824,0.0025991619037433154,0.003149746515969066,0.5019852735763203
24,2006-05-01,2014-08-01,0.0012804326000000002,0.0023405904331550795,0.002970166491050574,0.5312963012481577
25,2006-06-01,2014-09-01,0.0015518905411764708,0.0024076766951871653,0.0030265208551541007,0.5219253401433438
26,2006-07-01,2014-10-01,0.0015518905411764708,0.0024541616010695182,0.003096864697885021,0.5104496454925191
27,2006-08-01,2014-11-01,0.0016529160117647063,0.0026890797026737964,0.0032119253132584027,0.4922116315478142
28,2006-09-01,2014-12-01,0.0016529160117647063,0.0023122931005347593,0.0026945290108519,0.5793579426437913
29,2006-10-01,2015-01-01,0.0016529160117647063,0.0022355242032085563,0.0026655946555409547,0.5846108831379881
30,2006-11-01,2015-02-01,0.001734543458823529,0.002277363512299465,0.002739251717216563,0.5713143095371185
31,2006-12-01,2015-03-01,0.00224914985882353,0.0024498875818181813,0.0028057365159597277,0.5595295396001982
32,2007-01-01,2015-04-01,0.0021846462117647058,0.0024571187850267375,0.002811504571872739,0.5585170001765403
33,2007-02-01,2015-05-01,0.001279967882352941,0.002448210952941176,0.002804292258977455,0.559783316761502
34,2007-03-01,2015-06-01,0.0013056242705882354,0.002610897734759358,0.0029417871631704203,0.5360748425678007
35,2007-04-01,2015-07-01,0.0013056242705882354,0.0027681529786096255,0.0030244405826666647,0.5222684607440387
36,2007-05-01,2015-08-01,0.002570881776470588,0.002740548267379679,0.002999366027030914,0.526421168903607
37,2007-06-01,2015-09-01,0.002570881776470588,0.0023795584930481283,0.002626789910784833,0.5917150927711456
38,2007-07-01,2015-10-01,0.0026051974352941172,0.002647841343315508,0.0030354599470138258,0.5204533728266265
39,2007-08-01,2015-11-01,0.0026051974352941172,0.0025320463048128343,0.002983667157711436,0.5290369968514741
40,2007-09-01,2015-12-01,0.002935228423529411,0.0025730511326203204,0.002994825182503176,0.5271765335250694
41,2007-10-01,2016-01-01,0.0016271673411764704,0.002170043120855615,0.0025952668577909482,0.5975354032119186
42,2007-11-01,2016-02-01,0.0020294396117647067,0.00235706215828877,0.0028061889588147835,0.559450059213228
43,2007-12-01,2016-03-01,0.0020294396117647067,0.002487974562566845,0.002942822154675949,0.5358998726043684
44,2008-01-01,2016-04-01,0.0020294396117647067,0.0027274238224598932,0.0032181024045753225,0.4912512310185351
45,2008-02-01,2016-05-01,0.0018782529058823532,0.002426647332620321,0.003058168768228304,0.5167318759351394
46,2008-03-01,2016-06-01,0.002569627964705883,0.0030557543133689843,0.004094746393556602,0.37359507664861147
47,2008-04-01,2016-07-01,0.003025001105882353,0.003097151871657754,0.004123074496389323,0.37037389162777035
48,2008-05-01,2016-08-01,0.0037345263411764705,0.0034953599304812836,0.004413055416704104,0.33926989939678764
49,2008-06-01,2016-09-01,0.003025001105882353,0.002969937997860963,0.004053315090260991,0.378367042611074
50,2008-07-01,2016-10-01,0.0024848127529411767,0.0031269347711229945,0.004113780410105969,0.3714270216085397
51,2008-08-01,2016-11-01,0.003025001105882353,0.0032017888438502676,0.004140092057458637,0.3684549200195444
52,2008-09-01,2016-12-01,0.003025001105882353,0.0033650556470588237,0.0041969830524150485,0.3621264052662584
53,2008-10-01,2017-01-01,0.0024218205411764703,0.0030181371700534762,0.004013912607000983,0.38297310144098007
54,2008-11-01,2017-02-01,0.0021777972588235294,0.003035795868449198,0.004030671176007999,0.38100593762747914
55,2008-12-01,2017-03-01,0.0021207515058823526,0.0025973390919786098,0.0037550777578647457,0.41492727480202996
56,2009-01-01,2017-04-01,0.0020454602470588237,0.0028054739582887706,0.0038187851191231834,0.4067831946081981
57,2009-02-01,2017-05-01,0.0015638719647058826,0.0022605924770053476,0.0027670225600855878,0.5663664255989295
58,2009-03-01,2017-06-01,0.001610511623529412,0.0021488989347593582,0.0026673363869144434,0.5842936013318462
59,2009-04-01,2017-07-01,0.001548549611764705,0.001706835520855615,0.002140096525823536,0.6858704381187128
60,2009-05-01,2017-08-01,0.001548549611764705,0.001756560985026738,0.00214663888193176,0.6845536665424589
61,2009-06-01,2017-09-01,0.0018683579999999994,0.0018307616641711232,0.0022428014533714597,0.66532898463102
62,2009-07-01,2017-10-01,0.0013752466117647056,0.0016923954909090911,0.0021737952701569247,0.6790993515436758
63,2009-08-01,2017-11-01,0.0008958038235294121,0.0015284245860962568,0.0020616269970745796,0.7017393231886091
64,2009-09-01,2017-12-01,0.0013752466117647056,0.001789529178609626,0.002266094115011086,0.6607122163763057
65,2009-10-01,2018-01-01,0.0009910059058823534,0.0015118034427807488,0.0019517632646220762,0.7241454804666305
66,2009-11-01,2018-02-01,0.0013752466117647056,0.0017163543315508022,0.002069806770839463,0.7000791055765188
67,2009-12-01,2018-03-01,0.0013752466117647056,0.0018044942299465243,0.0021853332031903125,0.6767877472838206
68,2010-01-01,2018-04-01,0.0009910059058823534,0.0015995003935828879,0.001964854357284611,0.7214667487798132
69,2010-02-01,2018-05-01,0.0008958038235294121,0.0015557898887700533,0.0019296037982176099,0.728683945988974
70,2010-03-01,2018-06-01,0.0016702569058823535,0.0018454486663101602,0.002213277204689654,0.6712041866363163
71,2010-04-01,2018-07-01,0.0016702569058823535,0.0018569452802139035,0.0022164887617561503,0.6705638752338622
72,2010-05-01,2018-08-01,0.0015413551882352942,0.0016847437796791442,0.0020294992906002805,0.7082721111794497
73,2010-06-01,2018-09-01,0.0015413551882352942,0.0016725587101604276,0.002027857775527896,0.7086063780246363
74,2010-07-01,2018-10-01,0.0021893455176470594,0.0017856223411764707,0.002092003331133903,0.6955806591496847
75,2010-08-01,2018-11-01,0.0015413551882352942,0.001658148897326203,0.0019383227560423987,0.7268976424542153
76,2010-09-01,2018-12-01,0.0015362211411764702,0.0019648296395721925,0.0023062528317049284,0.6527925564426564
77,2010-10-01,2019-01-01,0.0015362211411764702,0.001964388135828877,0.0023058157383907866,0.6528784731177618
78,2010-11-01,2019-02-01,0.0015986150470588241,0.0018554012866310162,0.0021757592277151013,0.6787056277680616
79,2010-12-01,2019-03-01,0.0015362211411764702,0.0021494232096256685,0.0025168012833419002,0.6122090887314362
80,2011-01-01,2019-04-01,0.0020401546352941174,0.002611856880213904,0.0031490641965963087,0.5020935968855956
81,2011-02-01,2019-05-01,0.0020401546352941174,0.0026355284844919785,0.0031771425638696515,0.49765517642855106
82,2011-03-01,2019-06-01,0.002280831623529412,0.0026302585208556146,0.0031760592903717876,0.4978256812227324
83,2011-04-01,2019-07-01,0.002280831623529412,0.0025597601508021385,0.0031544446537892803,0.501240040949235
84,2011-05-01,2019-08-01,0.002414516705882353,0.0027997069860962566,0.0032684600347130444,0.48349280621774227
85,2011-06-01,2019-09-01,0.0022640636352941183,0.0028619227283422457,0.0033088076839570936,0.4773677949848174
86,2011-07-01,2019-10-01,0.002158333152941176,0.002829790425668449,0.00329370514962212,0.4796509611578711
87,2011-08-01,2019-11-01,0.0014707922823529412,0.0024462414962566847,0.0030363895302822,0.5203005298839605
88,2011-09-01,2019-12-01,0.0014707922823529412,0.0024280514588235296,0.003023298485721437,0.5224569299102118
89,2011-10-01,2020-01-01,0.002094329764705882,0.0022621126770053478,0.0029588389241844877,0.533198888178672
90,2011-11-01,2020-02-01,0.0013887494588235294,0.0019141476598930481,0.002658425962169413,0.5859182083110195
91,2011-12-01,2020-03-01,0.0013887494588235294,0.0014738420128342247,0.0018839204428819484,0.7380533390033575
92,2012-01-01,2020-04-01,0.0011349890470588233,0.00813605907486631,0.023313367017947756,0.018066420343747946
93,2012-02-01,2020-05-01,0.0014707922823529412,0.018608014703743316,0.04198645224088066,0.005640596409129617
94,2012-03-01,2020-06-01,0.0014707922823529412,0.02223432927593583,0.04372345068185251,0.0052036171771143724
95,2012-04-01,2020-07-01,0.0019639008235294124,0.02695088643315508,0.04672567705781114,0.0045593628891790194
96,2012-05-01,2020-08-01,0.002094329764705882,0.02907925243208556,0.04736721717542584,0.004437239820529015
97,2012-06-01,2020-09-01,0.008934893552941177,0.02978918183529412,0.047446279335300774,0.004422529488466442
98,2012-07-01,2020-10-01,0.007610769176470588,0.03046209975935829,0.04749893753583879,0.00441277237471871
99,2012-08-01,2020-11-01,0.005425297270588236,0.030719719212834222,0.04751790248464297,0.004409266227841768
100,2012-09-01,2020-12-01,0.007926951552941177,0.03140816882139037,0.04757633667196501,0.004398489396460592
101,2012-10-01,2021-01-01,0.006203122894117647,0.031471970708021386,0.04757749252162018,0.004398276624837161
102,2012-11-01,2021-02-01,0.006203122894117647,0.0318759336855615,0.04760970483585885,0.004392353099466173
103,2012-12-01,2021-03-01,0.006203122894117647,0.02491690048877005,0.04153774908020345,0.005762411403085865
104,2013-01-01,2021-04-01,0.0036361571647058836,0.01542988546631016,0.02275820452236021,0.018941694455483327
105,2013-02-01,2021-05-01,0.004042384164705882,0.012640217125133689,0.01943534689229638,0.025790963136261835
106,2013-03-01,2021-06-01,0.004804121329411765,0.008235150347593582,0.010441458307871656,0.08401663248722946
107,2013-04-01,2021-07-01,0.003167176423529411,0.006481056331550801,0.007214785851786686,0.16115221282836756
108,2013-05-01,2021-08-01,0.003701468611764706,0.00583589309946524,0.006691876432266135,0.18254434259996455
