date,actual,predicted,train_mean,y_train_mean,inner_idx,sstart,window_end
2011-07-01,0.007164162,-0.00046727296551659064,0.0013408568705882353,0.0013408568705882353,0,0,2012-08-01
2011-08-01,0.005510649,0.002310088648711147,0.0013718358705882353,0.0013718358705882353,0,1,2012-09-01
2011-09-01,0.001541758,0.00012602025857737752,0.0014284580235294118,0.0014284580235294118,0,2,2012-10-01
2011-10-01,0.000195946,-0.00136346786016228,0.0013929587176470589,0.0013929587176470589,0,3,2012-11-01
2011-11-01,0.000748019,0.0030233486396202226,0.0013626417647058825,0.0013626417647058825,0,4,2012-12-01
2011-12-01,0.00461494,0.0006867784906629583,0.001357247317647059,0.001357247317647059,0,5,2013-01-01
2012-01-01,-0.000622397,0.0024905311904613154,0.0013942296,0.0013942296,0,6,2013-02-01
2012-02-01,-0.002631852,0.0009032918979567167,0.0013808913058823533,0.0013808913058823533,0,7,2013-03-01
2012-03-01,0.002450932,-0.00017879668422879813,0.0013015859647058823,0.0013015859647058823,0,8,2013-04-01
2012-04-01,0.003396772,0.003774035478739702,0.0013171560352941178,0.0013171560352941178,0,9,2013-05-01
2012-05-01,0.001564307,-0.0003610234231320069,0.0013971269294117648,0.0013971269294117648,0,10,2013-06-01
2012-06-01,0.000489148,0.0004397328119640652,0.0013285784,0.0013285784,0,11,2013-07-01
2012-07-01,0.001955952,0.000434413188837444,0.0012811824352941177,0.0012811824352941177,0,12,2013-08-01
2012-08-01,-0.001295953,0.0021935418648027184,0.001265864588235294,0.001265864588235294,0,13,2013-09-01
2012-09-01,-9.46e-05,0.001679151820589976,0.0012287052588235295,0.0012287052588235295,0,14,2013-10-01
2012-10-01,-0.000412342,0.0019637627983737256,0.001152107482352941,0.001152107482352941,0,15,2013-11-01
2012-11-01,0.004788092,0.0015203677641735902,0.0011454078588235294,0.0011454078588235294,0,16,2013-12-01
2012-12-01,-5.12e-05,-0.0010917434672129316,0.0011752467058823528,0.0011752467058823528,0,17,2014-01-01
2013-01-01,0.004900913,-0.0007784986645553347,0.001101570705882353,0.001101570705882353,0,18,2014-02-01
2013-02-01,0.004478509,0.0015470939293019451,0.001116400482352941,0.001116400482352941,0,19,2014-03-01
2013-03-01,0.004021497,0.0023135800390843434,0.001141332494117647,0.001141332494117647,0,20,2014-04-01
2013-04-01,0.001115173,0.0038845754750756025,0.0011570356588235294,0.0011570356588235294,0,21,2014-05-01
2013-05-01,0.002642206,0.0013461425993213825,0.0011339387529411763,0.0011339387529411763,0,22,2014-06-01
2013-06-01,-0.003937529,0.0012894608270151273,0.001171290811764706,0.001171290811764706,0,23,2014-07-01
2013-07-01,0.005422384,0.0019320124890364453,0.0011176826588235294,0.0011176826588235294,0,24,2014-08-01
2013-08-01,0.004718599,0.0018059887206848787,0.0012003525764705883,0.0012003525764705883,0,25,2014-09-01
2013-09-01,0.003267402,0.000871898960123332,0.001244042376470588,0.001244042376470588,0,26,2014-10-01
2013-10-01,0.005577829,0.0010220953424573364,0.0012797865176470589,0.0012797865176470589,0,27,2014-11-01
2013-11-01,0.001496985,0.0060714624829604005,0.0013739652470588237,0.0013739652470588237,0,28,2014-12-01
2013-12-01,-0.004847856,0.002034599601258398,0.0013730784823529415,0.0013730784823529415,0,29,2015-01-01
2014-01-01,0.002806315,0.002808724618312939,0.0012925677882352944,0.0012925677882352944,0,30,2015-02-01
2014-02-01,0.005900511,0.004328823877104249,0.0012434047764705884,0.0012434047764705884,0,31,2015-03-01
