sstart,ssample_start_date,ssample_end_date,mad,mae,rmse,r_sq
0,2004-05-01,2012-08-01,0.0011508465845902656,0.0018423263278542555,0.002319213911747865,0.22829303927573308
1,2004-06-01,2012-09-01,0.0012809269791363251,0.0018657112558184011,0.002353963129307763,-0.13868786372835196
2,2004-07-01,2012-10-01,0.001386670488478391,0.0018642767910172686,0.0023528511026290454,-0.5029832216414101
3,2004-08-01,2012-11-01,0.001256043265806988,0.0017815348816352628,0.002332646233957512,-0.40580057253929924
4,2004-09-01,2012-12-01,0.0015383168487365197,0.0020065446608609552,0.0025311525498524726,-0.3400271365181893
5,2004-10-01,2013-01-01,0.0015383168487365197,0.0020189730482255727,0.0025387133664590052,-0.3240489473371311
6,2004-11-01,2013-02-01,0.0017315827866963346,0.002232685626208802,0.0027308207452922052,-0.4447451815170669
7,2004-12-01,2013-03-01,0.002596583735364863,0.002397757005270714,0.0028051774901730457,-0.37608308317916683
8,2005-01-01,2013-04-01,0.002354071739887596,0.002432856035439829,0.0028522566182660604,-0.5895910990406794
9,2005-02-01,2013-05-01,0.002354071739887596,0.002436930598680056,0.00285361194087835,-0.6232895304296244
10,2005-03-01,2013-06-01,0.0024322024822294817,0.0024631112118726236,0.002857709499429985,-0.6807889555734505
11,2005-04-01,2013-07-01,0.0031591115876013418,0.0026978307064476916,0.003092840459938873,-0.39354240603569957
12,2005-05-01,2013-08-01,0.0029908974649915966,0.002817944584253311,0.0032435094122108057,-0.2774404820626841
13,2005-06-01,2013-09-01,0.002354071739887596,0.002464547644559583,0.002937207270207125,0.05740881248431906
14,2005-07-01,2013-10-01,0.0022400292444651644,0.002382410195589625,0.0028494813820989697,0.09407495252636944
15,2005-08-01,2013-11-01,0.001702698101871901,0.002500294037256456,0.002954342311637347,0.14839294741279896
16,2005-09-01,2013-12-01,0.001702698101871901,0.002541820277418108,0.0029586147403090493,0.13004625790119928
17,2005-10-01,2014-01-01,0.0022400292444651644,0.002762651902546331,0.003313743257475324,0.08630644421156908
18,2005-11-01,2014-02-01,0.0019391904586375588,0.002688134328571221,0.0032880405525736963,0.10493556809809701
19,2005-12-01,2014-03-01,0.0019391904586375588,0.0026051742397332337,0.0032058119414173788,0.18671356845364795
20,2006-01-01,2014-04-01,0.002937754534522632,0.002601587492864697,0.0032032415250550315,0.12813183898891556
21,2006-02-01,2014-05-01,0.0018931341160575198,0.0024084583062679928,0.0030318260325928152,0.20018554555811374
22,2006-03-01,2014-06-01,0.0019391904586375588,0.0024057182412990704,0.003030960419768166,0.22898435739897516
23,2006-04-01,2014-07-01,0.0016164714659543489,0.0024824461548307113,0.003059077390458955,0.2142362000684559
24,2006-05-01,2014-08-01,0.0016164714659543489,0.0022258601003885894,0.002810940821882337,0.20520594045788
25,2006-06-01,2014-09-01,0.0018931341160575198,0.002109986461609344,0.0026408354991625227,0.23703263063496705
26,2006-07-01,2014-10-01,0.0017392209985189586,0.002373908725557633,0.002842687370759224,0.19628338963288605
27,2006-08-01,2014-11-01,0.0017392209985189586,0.002281447939618096,0.002778361403977913,0.25390108335879136
28,2006-09-01,2014-12-01,0.0019284150015407566,0.0021683394019911375,0.0026698931367272164,0.2304600124634174
29,2006-10-01,2015-01-01,0.0019222486679807596,0.0021823940303065665,0.0026733938639615304,0.23016447399234485
30,2006-11-01,2015-02-01,0.0019222486679807596,0.002068694145864022,0.002416983860719454,0.28912345145137186
31,2006-12-01,2015-03-01,0.0019222486679807596,0.0020639278384049224,0.002415754587895237,0.3019169942865534
32,2007-01-01,2015-04-01,0.0019465390272440243,0.0020945734457955404,0.002451995486653905,0.15038162989009352
33,2007-02-01,2015-05-01,0.001350712246944177,0.001932095553537644,0.002369975609449669,0.24523087668495624
34,2007-03-01,2015-06-01,0.0018372694558626225,0.0020026959071156652,0.0024279688979884704,0.2566392771496955
35,2007-04-01,2015-07-01,0.0019465390272440243,0.002078840094263001,0.0024725558070595147,0.23472411476073973
36,2007-05-01,2015-08-01,0.0018372694558626225,0.0019779428957740733,0.002433117807888526,0.2905546014669411
