sstart,ssample_start_date,ssample_end_date,mad,mae,rmse,r_sq
0,2004-05-01,2012-08-01,0.0018566432591626998,0.001953149866913285,0.002556530126154158,0.5555072087915855
1,2004-06-01,2012-09-01,0.0013139052870410738,0.0018709076301641255,0.0023963809114737797,0.5958022037953662
2,2004-07-01,2012-10-01,0.0011985676381323417,0.0017607461874141256,0.0023330921573318226,0.6100638724736218
3,2004-08-01,2012-11-01,0.001124897830715856,0.001521430030596623,0.0020408408911666925,0.6616002522840554
4,2004-09-01,2012-12-01,0.0014145415893970076,0.0018003890387186467,0.0022032329713331162,0.6447463007140402
5,2004-10-01,2013-01-01,0.0015963311876047459,0.0019358129092957685,0.002246719284434505,0.6224242065836578
6,2004-11-01,2013-02-01,0.0015963311876047454,0.0021486315699009648,0.002532475844919939,0.5728697226559796
7,2004-12-01,2013-03-01,0.0018858645483010562,0.0022727601308790073,0.0026454961535860378,0.5688608744085685
8,2005-01-01,2013-04-01,0.0016911067623709907,0.002490125936072783,0.002758586965476356,0.5581031246361448
9,2005-02-01,2013-05-01,0.0016911067623709914,0.0021044294959896145,0.0023094846284858962,0.6743259654676315
10,2005-03-01,2013-06-01,0.0012928088792638999,0.0020232141763739044,0.002288534211627852,0.6805952559795703
11,2005-04-01,2013-07-01,0.0012928088792638999,0.0023526980549879463,0.002689789997071349,0.6224340334961416
12,2005-05-01,2013-08-01,0.0018381802747206267,0.0025518736579898922,0.0029135753086541945,0.5752097174662463
13,2005-06-01,2013-09-01,0.0014600397184283721,0.002893519088482664,0.0032064027882113375,0.5187125134857842
14,2005-07-01,2013-10-01,0.0018381802747206265,0.002630100426746921,0.0029491112641764797,0.5708555038794987
15,2005-08-01,2013-11-01,0.001860566218278134,0.002809331004312079,0.0031586748562426282,0.5340981341436732
16,2005-09-01,2013-12-01,0.0028565969275462,0.002848519662264782,0.0031887055432834035,0.5015507350232624
17,2005-10-01,2014-01-01,0.003028147842350104,0.003374759377015296,0.0037235707900724366,0.4419924006694307
18,2005-11-01,2014-02-01,0.0025903363501347367,0.0034842122500691377,0.003744266039320545,0.4369823012417908
19,2005-12-01,2014-03-01,0.0016120296837179716,0.0032852139754283413,0.003550396919776536,0.48416995009995323
20,2006-01-01,2014-04-01,0.0017085996133094216,0.0029642649775842795,0.003301118363800047,0.5073671505303323
21,2006-02-01,2014-05-01,0.0011300292306965116,0.002819622381931052,0.0031481266050249436,0.5293327606512044
22,2006-03-01,2014-06-01,0.0011029465848664244,0.0028263930433885735,0.0031523811954429527,0.5299422722865044
