sstart,ssample_start_date,ssample_end_date,mad,mae,rmse,r_sq
0,2004-05-01,2012-08-01,0.0015764498762359616,0.0017468116094482848,0.002069383860576713,0.6211649716892556
1,2004-06-01,2012-09-01,0.002232093619046197,0.0020217645862594677,0.0022352762858668176,0.5991748904935011
2,2004-07-01,2012-10-01,0.0010045254477297977,0.002417527519243228,0.0025580469338631136,0.4587001452851569
3,2004-08-01,2012-11-01,0.0009580549381702753,0.0024665307741257568,0.0025788863700250365,0.47748383689202045
4,2004-09-01,2012-12-01,0.0017292515633402423,0.0023697155254408355,0.002473553397764633,0.5919907850481385
5,2004-10-01,2013-01-01,0.0007528255184116716,0.002123774525629642,0.002201862069888255,0.6831239668364646
6,2004-11-01,2013-02-01,0.0017292515633402423,0.0021895653792600176,0.002265206027940973,0.6861175355616003
7,2004-12-01,2013-03-01,0.0019196438895768392,0.0016798164673409702,0.0018517379721527517,0.8083160792697134
8,2005-01-01,2013-04-01,0.000866036400848068,0.0020730539261749528,0.0022710161523455184,0.724891560972666
9,2005-02-01,2013-05-01,0.0019196438895768388,0.0018468274442500995,0.0020686618549959276,0.7377938702903342
10,2005-03-01,2013-06-01,0.0016997551732746419,0.0015763414845772054,0.0018922869930790604,0.7809365236274667
11,2005-04-01,2013-07-01,0.0017706016602963704,0.0019393080019219353,0.002433098034284627,0.6895876328350019
12,2005-05-01,2013-08-01,0.0025657915741227107,0.002848739391300991,0.003282420667090057,0.48064189648321687
13,2005-06-01,2013-09-01,0.0019904903765985667,0.0023604899308636283,0.0029765754844996886,0.5927295977555216
14,2005-07-01,2013-10-01,0.0016279814761791123,0.0025589715405258916,0.003098858092967394,0.576744089244351
15,2005-08-01,2013-11-01,0.0016279814761791123,0.00306241963840196,0.003389638653372323,0.5626237465396594
16,2005-09-01,2013-12-01,0.0016279814761791132,0.0024603953276339267,0.0028860644039566475,0.6055032240095903
17,2005-10-01,2014-01-01,0.0018593831548888906,0.002850077820872331,0.003597305381781156,0.4753910217970416
18,2005-11-01,2014-02-01,0.002094046221186508,0.0029098078201239184,0.0036120371802416174,0.42564133552861705
19,2005-12-01,2014-03-01,0.0021067000217420634,0.003065281528488096,0.003728794298197195,0.47033511526777405
20,2006-01-01,2014-04-01,0.0016606141316814961,0.002563242867950585,0.0034668317328564935,0.4603119430222744
21,2006-02-01,2014-05-01,0.0016606141316814964,0.0027365160055982975,0.0035435930330715106,0.4599486480674301
22,2006-03-01,2014-06-01,0.0005207926602420617,0.0016701772519284556,0.0018832010354503871,0.7936399048544411
23,2006-04-01,2014-07-01,0.0004268449659607853,0.0018950755919879794,0.0020655271981442924,0.7504062423805478
24,2006-05-01,2014-08-01,0.000603699040055557,0.0018504043257371859,0.001998847354892083,0.6864630820742457
25,2006-06-01,2014-09-01,0.0006036990400555566,0.0024007302637326327,0.002488884576473345,0.571805627815064
26,2006-07-01,2014-10-01,0.0007743013730833344,0.0024702215451571424,0.0025484727838130054,0.6445806742652993
27,2006-08-01,2014-11-01,0.0005137658199166665,0.002522328655790476,0.002582784797955731,0.6449158197446088
28,2006-09-01,2014-12-01,0.0015826185049139514,0.0024480031364434007,0.0025252495939412484,0.6668200938388618
29,2006-10-01,2015-01-01,0.001847015271750001,0.0018691195673775276,0.0021609581362287177,0.7554563919702862
30,2006-11-01,2015-02-01,0.001847015271750001,0.0022875951955545113,0.00289294112972263,0.622400912988894
31,2006-12-01,2015-03-01,0.0011950372898928566,0.0020653690158997495,0.0027529824637219716,0.581939763308168
32,2007-01-01,2015-04-01,0.0012483432274677034,0.002309344839423992,0.0029604836384871324,0.49756661952532666
33,2007-02-01,2015-05-01,0.0012959019224761895,0.0019658075335599566,0.0028502340276919244,0.5364903197529833
34,2007-03-01,2015-06-01,0.001817244195978356,0.002713780191935964,0.0033108908860933206,0.43982795599931634
35,2007-04-01,2015-07-01,0.001817244195978355,0.0018384787064858387,0.0022855072860053934,0.6733266940466657
36,2007-05-01,2015-08-01,0.0015668290660981613,0.0016894289856365487,0.002229404105105781,0.6988073393956183
37,2007-06-01,2015-09-01,0.001016175747868422,0.0015441838602075445,0.0020476212378421894,0.7323362621725314
38,2007-07-01,2015-10-01,0.002790457447872597,0.002673056313818655,0.00327575845025747,0.5037783845998101
39,2007-08-01,2015-11-01,0.0015668290660981617,0.002035937575492648,0.00282133407979645,0.594375925949982
40,2007-09-01,2015-12-01,0.0018748648283054966,0.0020975447279341147,0.002848363390530244,0.5638233693712422
41,2007-10-01,2016-01-01,0.0012110382709090912,0.0020394719844548334,0.0028415882486965863,0.534665437080333
42,2007-11-01,2016-02-01,0.0012110382709090907,0.0021121129484095954,0.00290466814968098,0.5866245507565164
43,2007-12-01,2016-03-01,0.001211038270909091,0.0013239407645254686,0.0015905226568840736,0.8447655155509101
44,2008-01-01,2016-04-01,0.001963790949468253,0.0018173441661254687,0.0020786774906910465,0.7907215604632231
45,2008-02-01,2016-05-01,0.001963790949468253,0.0019526004013603175,0.0021887177726675113,0.7661078806642465
46,2008-03-01,2016-06-01,0.003851110396551587,0.0034097028938269843,0.003993794873445703,0.5602390823325974
47,2008-04-01,2016-07-01,0.003714691401553571,0.003261915842194047,0.003907490067160555,0.5707182939420234
48,2008-05-01,2016-08-01,0.0033559138063670633,0.003965213071990874,0.004499023858647117,0.49026617404212924
49,2008-06-01,2016-09-01,0.003355913806367064,0.003823751872990873,0.004413474456222356,0.4479666125543783
50,2008-07-01,2016-10-01,0.0033559138063670646,0.003813213489974207,0.004408582286681684,0.4731362103333684
51,2008-08-01,2016-11-01,0.0030346869468289074,0.0025381757284562573,0.0029170906771017677,0.605294196042993
52,2008-09-01,2016-12-01,0.00311841402674359,0.0028040398461982845,0.003145334678584995,0.5142051503998751
53,2008-10-01,2017-01-01,0.0019453258407954536,0.002009656034507809,0.0021536351721857445,0.6569742979409494
54,2008-11-01,2017-02-01,0.0008058882130000007,0.0021068480545078094,0.0022672637114214064,0.690831775392879
55,2008-12-01,2017-03-01,0.001505620545,0.0017784618619411422,0.0020861686064062206,0.7099348727296382
56,2009-01-01,2017-04-01,0.000926237465073232,0.002027193846136869,0.002281925245311624,0.6657760047501051
57,2009-02-01,2017-05-01,0.0008244427035555553,0.0016770578124111113,0.0018794689361012313,0.7859971939671149
58,2009-03-01,2017-06-01,0.0011359604087619064,0.0014887948650920634,0.0017922029804022601,0.8118182726503764
59,2009-04-01,2017-07-01,0.0011359604087619064,0.0016738964029809522,0.002104747019495194,0.6822129310102794
60,2009-05-01,2017-08-01,0.0008244427035555548,0.0017902069228976191,0.002141462965981936,0.672393392536856
61,2009-06-01,2017-09-01,0.0005806687053452394,0.0014711665611817457,0.0018976913023126692,0.7603068842807955
62,2009-07-01,2017-10-01,0.0008784361947380939,0.0012675369650150792,0.001786348653534059,0.7512114117801734
63,2009-08-01,2017-11-01,0.00024738887580952405,0.0013017307921119048,0.0017952426684458578,0.7376266319670792
64,2009-09-01,2017-12-01,0.0002473888758095235,0.0006136628832230165,0.0006525205776692524,0.9700510439911538
65,2009-10-01,2018-01-01,0.0001942321682539686,0.0006261873369730166,0.0006712964530424608,0.9684686329590605
66,2009-11-01,2018-02-01,0.0005254785461666681,0.0008217342032587307,0.0009661249129792308,0.9295436565258852
67,2009-12-01,2018-03-01,0.0013360181675000017,0.001309795513792064,0.0016157496619440836,0.8292067469433586
68,2010-01-01,2018-04-01,0.0014108322085714276,0.0015278003420142858,0.001757453084256735,0.8000764137354146
69,2010-02-01,2018-05-01,0.0006177023024999968,0.0017336271360142853,0.0018517752488659996,0.7533948036345737
70,2010-03-01,2018-06-01,0.0018201917753748098,0.002237594423303533,0.0023938904353191996,0.6485829716724794
71,2010-04-01,2018-07-01,0.0008352708399999977,0.002328308943589247,0.0024666787754443397,0.603456677399068
72,2010-05-01,2018-08-01,0.000835270839999997,0.0019916956443559136,0.002161669940562423,0.6569159914407754
73,2010-06-01,2018-09-01,0.0022880749261129057,0.002078329105236433,0.0022348887237165845,0.6271632486374881
74,2010-07-01,2018-10-01,0.0022880749261129057,0.0023089851142554813,0.0024247909983198287,0.5677027093640985
75,2010-08-01,2018-11-01,0.002494774260642857,0.0023503249811614715,0.002486187226681507,0.4735673646904933
76,2010-09-01,2018-12-01,0.002494774260642857,0.0023164524191614717,0.0024575180018550037,0.6020875425826939
77,2010-10-01,2019-01-01,0.000755943193428572,0.0024131567719281382,0.0025157408026298786,0.6030428795829228
78,2010-11-01,2019-02-01,0.00048737201509523953,0.002839466146047619,0.00300106386372944,0.4641375310215722
