sstart,ssample_start_date,ssample_end_date,mad,mae,rmse,r_sq
0,2004-05-01,2012-08-01,0.0012459472757251548,0.0017843313019801227,0.002143057721485334,0.6876578255300335
1,2004-06-01,2012-09-01,0.0018469491753980787,0.0018547405764959956,0.0022111959042368217,0.6558587904775353
2,2004-07-01,2012-10-01,0.001914357883859431,0.0021120282817703676,0.0023845556061325916,0.5926716899119824
3,2004-08-01,2012-11-01,0.0017441234921510996,0.0017960191722712928,0.002009907172167877,0.6717809866233851
4,2004-09-01,2012-12-01,0.002267934259595543,0.0021238515179878674,0.0022534201503833736,0.6283774049733875
5,2004-10-01,2013-01-01,0.0010211137410485566,0.0022247102715602365,0.0023286468231613357,0.5943852223558184
6,2004-11-01,2013-02-01,0.0010211137410485573,0.00247611781865723,0.002527093813608345,0.5746832726568736
7,2004-12-01,2013-03-01,0.0021630825829155997,0.002199013981702102,0.00232020708488929,0.6683678206490924
8,2005-01-01,2013-04-01,0.0021630825829155997,0.0022871332891657766,0.002431750987279673,0.6566114793040448
9,2005-02-01,2013-05-01,0.0025034761624427434,0.0019896739359921583,0.0022804128158887575,0.6824735349839683
10,2005-03-01,2013-06-01,0.001999560455449537,0.0018070631138529117,0.0021273727389625073,0.7239970503346149
11,2005-04-01,2013-07-01,0.001999560455449537,0.002174024118753981,0.002566539880808517,0.6562425443978541
12,2005-05-01,2013-08-01,0.0022322279895572628,0.002379419458178524,0.0028484645519702887,0.5939834695344005
13,2005-06-01,2013-09-01,0.0014654595969140435,0.00221298244913858,0.002762653505251967,0.6427096780079393
14,2005-07-01,2013-10-01,0.001148149047392744,0.0021336548117582553,0.0026868193107720917,0.6437965240718116
15,2005-08-01,2013-11-01,0.001441426147328716,0.0024118676463547525,0.002868505187374684,0.6157659201364394
16,2005-09-01,2013-12-01,0.001148149047392744,0.0020325684879862463,0.0026134900311595315,0.6651627070434645
17,2005-10-01,2014-01-01,0.001658463977390234,0.002841717843247532,0.0034759829046889907,0.5137314883858697
18,2005-11-01,2014-02-01,0.001957833371666582,0.002766875494678445,0.003458342854338034,0.5196865565511848
19,2005-12-01,2014-03-01,0.0013005641798154765,0.00260715598616428,0.0032860467241905018,0.558124125070077
20,2006-01-01,2014-04-01,0.001957833371666581,0.002391229633960662,0.0030350285352267656,0.5835846481777736
21,2006-02-01,2014-05-01,0.0015438580956705506,0.00249472345295967,0.0030754980130696464,0.5507992292660617
22,2006-03-01,2014-06-01,0.0013255188804034992,0.0023796207414947287,0.003006342879279485,0.5724855850392838
23,2006-04-01,2014-07-01,0.0006415091264126981,0.002168340973957526,0.0028563028749193932,0.5696909906283926
24,2006-05-01,2014-08-01,0.0012629173919808802,0.002242276746224572,0.0028723430702631276,0.565760234923613
25,2006-06-01,2014-09-01,0.00126291739198088,0.001811881078859127,0.002037787416413271,0.733582368244902
26,2006-07-01,2014-10-01,0.0014829246579431826,0.0020684234836850198,0.002223685898295963,0.7297181338618957
27,2006-08-01,2014-11-01,0.001118388572981422,0.00197728946244458,0.002112966577620928,0.7308107484743912
28,2006-09-01,2014-12-01,0.0011183885729814222,0.0018593701065248462,0.001978142736535031,0.7711836984644206
29,2006-10-01,2015-01-01,0.0015934645253207072,0.0017162876633881894,0.0019017046720706322,0.7822662783681806
30,2006-11-01,2015-02-01,0.002137724751666667,0.002188118194394818,0.002585941105486972,0.6472122876021917
31,2006-12-01,2015-03-01,0.0012874351116339297,0.0022913568650195478,0.002650976774018477,0.6326250343424928
32,2007-01-01,2015-04-01,0.0017978170636159148,0.002684170197122998,0.0029971044237274997,0.5437519385877012
33,2007-02-01,2015-05-01,0.0020778342840653183,0.0023163097532688318,0.0027981114176397802,0.5937178975539374
34,2007-03-01,2015-06-01,0.0019458919121417744,0.0024695105811554656,0.0029672705927068096,0.5010174597892201
35,2007-04-01,2015-07-01,0.0019458919121417744,0.002221930020738168,0.002858523775223103,0.529361620424597
36,2007-05-01,2015-08-01,0.001455816207198321,0.002008047154165478,0.0027818042851137153,0.5615828038470467
37,2007-06-01,2015-09-01,0.002042453240141775,0.002164562420852369,0.0028424751457673193,0.5434822149412094
