sstart,ssample_start_date,ssample_end_date,mad,mae,rmse,r_sq
0,2004-05-01,2012-08-01,0.0024346105543994307,0.003395100613763394,0.004208884027271508,-0.04450264030755058
1,2004-06-01,2012-09-01,0.0022528544817658367,0.0028337328980349097,0.0031401671689588137,0.3362626278458284
2,2004-07-01,2012-10-01,0.003110365540590733,0.0027585417133619257,0.0030986674701633733,0.29777347028301415
3,2004-08-01,2012-11-01,0.002738540620571375,0.0026749637100139463,0.0030298062364946515,0.33770897982019255
4,2004-09-01,2012-12-01,0.0025925816758959296,0.002473930799096298,0.0028217676780596564,0.4609473096982931
5,2004-10-01,2013-01-01,0.0024346105543994307,0.0023027306474019222,0.0026921190219074526,0.5122052812586168
6,2004-11-01,2013-02-01,0.0024346105543994307,0.0022518704834678053,0.0025940589631725545,0.5558828790808905
7,2004-12-01,2013-03-01,0.0020988458375118374,0.002442123627843519,0.0028665851084559864,0.4768849898426992
8,2005-01-01,2013-04-01,0.001763467126836866,0.0022991503233331504,0.0027197470197962343,0.5103870163125177
9,2005-02-01,2013-05-01,0.0020988458375118374,0.002384560544757425,0.002819001640862168,0.47044194661895045
10,2005-03-01,2013-06-01,0.0020988458375118374,0.00234116286517747,0.002813979296373265,0.46672353424144386
11,2005-04-01,2013-07-01,0.002025279045119464,0.00251124863912669,0.0030561737311890886,0.4458262749656655
12,2005-05-01,2013-08-01,0.0022079461674779652,0.002724388721085848,0.0031541814019382755,0.45412396685222656
13,2005-06-01,2013-09-01,0.0022079461674779652,0.00273930837915901,0.0031659335012920627,0.47639713286482444
14,2005-07-01,2013-10-01,0.0016771685776636601,0.0027401084369565935,0.0031667804092262745,0.47086734445736744
15,2005-08-01,2013-11-01,0.0018954800294402837,0.0030455138538134498,0.0034632541692522856,0.4073760044757888
16,2005-09-01,2013-12-01,0.0018954800294402837,0.003210764749029332,0.0036061049810126684,0.35148375076844474
17,2005-10-01,2014-01-01,0.0028260278392301724,0.0035998891667333274,0.004038788872277125,0.2588279727302839
18,2005-11-01,2014-02-01,0.0028260278392301724,0.0035828537666374475,0.004035141727241588,0.26219613658107055
19,2005-12-01,2014-03-01,0.002522727210178677,0.003280459622609005,0.003819565037849392,0.35522643405426
20,2006-01-01,2014-04-01,0.001979009521115899,0.0029786994605766224,0.0035589499847775894,0.417882316875122
21,2006-02-01,2014-05-01,0.002522727210178677,0.0031915555249422247,0.0037524294820862787,0.34455282858169944
22,2006-03-01,2014-06-01,0.001979009521115899,0.002913619835387231,0.003603804741680629,0.4071054539975145
23,2006-04-01,2014-07-01,0.0018187372299167514,0.002992183050427928,0.003615873198032352,0.402972004806721
24,2006-05-01,2014-08-01,0.0018187372299167514,0.0027990366183729774,0.0033938125337808797,0.4221205207407063
25,2006-06-01,2014-09-01,0.002522727210178677,0.0027159103769983694,0.003337676176893315,0.4176838477218473
26,2006-07-01,2014-10-01,0.0025668624730730578,0.0029596119915638024,0.003629414122378853,0.34282589610706926
27,2006-08-01,2014-11-01,0.0025668624730730578,0.0028989891917595967,0.003579581696989707,0.3699215100768476
28,2006-09-01,2014-12-01,0.0024086048388254648,0.0028066332794789055,0.0034587854530203034,0.37863544148550177
29,2006-10-01,2015-01-01,0.0018928884469715877,0.0025345142974188307,0.0032677672938904528,0.4459692744617474
30,2006-11-01,2015-02-01,0.0018928884469715877,0.002625449332603874,0.0034668166502009644,0.3399067521626338
31,2006-12-01,2015-03-01,0.0024086048388254648,0.002778948217484921,0.0035435097555275396,0.31571863563268177
32,2007-01-01,2015-04-01,0.002156907021696329,0.0028288146930023133,0.0035597738632035273,0.25749115957835034
33,2007-02-01,2015-05-01,0.0025200659133071896,0.0031215810965451473,0.0038083329469380213,0.16798826933569522
34,2007-03-01,2015-06-01,0.0018928884469715877,0.002978102169312405,0.0036633947897049012,0.2511005809977509
35,2007-04-01,2015-07-01,0.0022699617117872906,0.003127548508329645,0.0037092735844421005,0.2347200982401345
36,2007-05-01,2015-08-01,0.0022699617117872906,0.0032711491200327052,0.0037858562675424667,0.21827140930665434
37,2007-06-01,2015-09-01,0.0025200659133071896,0.0030618290356676865,0.0037068806658346336,0.25133456065931115
