sstart,ssample_start_date,ssample_end_date,mad,mae,rmse,r_sq
0,2004-05-01,2012-08-01,0.0016004892395728677,0.002238955814850551,0.002575972232590503,0.548720872666372
1,2004-06-01,2012-09-01,0.00214524207354768,0.002153207019216731,0.002516693782702082,0.5541969959177026
2,2004-07-01,2012-10-01,0.002305041972466931,0.0022497637613123843,0.002572996847043346,0.5257490660513633
3,2004-08-01,2012-11-01,0.0017703643602051439,0.0018240933019946144,0.002125725522433694,0.6328647289496571
4,2004-09-01,2012-12-01,0.0019033103878484479,0.0020957811613589155,0.0022861532825408123,0.6175026276161175
5,2004-10-01,2013-01-01,0.001827457665725503,0.002232162036073342,0.00241473917207547,0.5638388570133673
6,2004-11-01,2013-02-01,0.001827457665725503,0.002366449433367222,0.002538113876186082,0.5709657720121238
7,2004-12-01,2013-03-01,0.0021013866954985114,0.002024001434455423,0.0022963270433419966,0.6751591422410753
8,2005-01-01,2013-04-01,0.0021013866954985114,0.002062046893996343,0.0023615189082258213,0.6761600486632547
9,2005-02-01,2013-05-01,0.002129737457311809,0.0019145081467643052,0.0023092642681043773,0.6743881111341072
10,2005-03-01,2013-06-01,0.001577612851397887,0.0017399519996053844,0.0022189115700974745,0.6997337408059426
11,2005-04-01,2013-07-01,0.0021955319164139032,0.002112993216916331,0.002570655608548041,0.6551391549595385
12,2005-05-01,2013-08-01,0.0027869800549345613,0.0024631641191144656,0.0030434475517016387,0.5364957495855218
13,2005-06-01,2013-09-01,0.001539228910999715,0.0021512263331307543,0.0028841120722924124,0.6106029294577257
14,2005-07-01,2013-10-01,0.0008385418733752666,0.001976054573724642,0.002752871436964586,0.6260676055814027
15,2005-08-01,2013-11-01,0.0013310213980430364,0.0022334321868229656,0.0028777884385583455,0.6132749270704512
16,2005-09-01,2013-12-01,0.0009509236103951036,0.0017769369464321798,0.0024832209428460213,0.6977106470130725
17,2005-10-01,2014-01-01,0.001799651144925982,0.0026021718546964142,0.0034649130413890485,0.516823767417655
18,2005-11-01,2014-02-01,0.001628798180650085,0.0026448850957653887,0.003472849576963131,0.5156485602831261
19,2005-12-01,2014-03-01,0.0014916887011633215,0.00260271456198994,0.00342908336586665,0.5188185135239347
20,2006-01-01,2014-04-01,0.001628798180650085,0.0024298235558782295,0.003194197004092815,0.5387625410902565
21,2006-02-01,2014-05-01,0.0014434031350628734,0.0025238242379259247,0.003213038352218867,0.5097231239416977
22,2006-03-01,2014-06-01,0.0014434031350628734,0.00251069014901574,0.0032074806594450593,0.5133666898813085
23,2006-04-01,2014-07-01,0.0009263746268327536,0.002381433021958209,0.003130848543861202,0.48299345281679273
24,2006-05-01,2014-08-01,0.0010884072322677376,0.002421941173316955,0.0031392849318903496,0.4812973806131132
25,2006-06-01,2014-09-01,0.0010884072322677376,0.001973008300268859,0.002308041297378176,0.6582312406599816
26,2006-07-01,2014-10-01,0.0014745301062736812,0.0021378459685315195,0.002411067222723745,0.682247729108515
27,2006-08-01,2014-11-01,0.0009404999273921256,0.0019701016939102562,0.0022120970538938864,0.7049600576270237
28,2006-09-01,2014-12-01,0.0009404999273921256,0.0017446158826125266,0.001892886677188193,0.7904821932354329
29,2006-10-01,2015-01-01,0.0014429320873258415,0.0016910470887259693,0.0018699991500100172,0.7894659392276591
30,2006-11-01,2015-02-01,0.002304630352041513,0.002170332595892996,0.0025663978218949134,0.6525245332425993
31,2006-12-01,2015-03-01,0.0013289099095840455,0.002247636655413732,0.002616249185925729,0.6421871564269686
32,2007-01-01,2015-04-01,0.001577303922195852,0.0026137909385101276,0.002917894666570668,0.5675494008481214
33,2007-02-01,2015-05-01,0.0020543304535185396,0.002253424983779401,0.002685612270187344,0.6257306103832883
34,2007-03-01,2015-06-01,0.001577303922195852,0.00230415545591826,0.002729401095783548,0.577812114051244
35,2007-04-01,2015-07-01,0.001577303922195852,0.0021623898912927282,0.002650140118847925,0.5954786983989819
36,2007-05-01,2015-08-01,0.0014522112956799865,0.001926692867025845,0.0025540447836644702,0.6304344735553882
37,2007-06-01,2015-09-01,0.0017383678033707438,0.002019370303974841,0.002588655872021369,0.621371770599561
38,2007-07-01,2015-10-01,0.0017383678033707438,0.0018981011736543347,0.0023605298149214217,0.7059179994385294
39,2007-08-01,2015-11-01,0.0014472879419603793,0.00187680771681899,0.002343372299469373,0.7040140019325287
40,2007-09-01,2015-12-01,0.0008108886927304267,0.0015967434413806218,0.00200540643327441,0.7775096676487179
41,2007-10-01,2016-01-01,0.0007912691049394309,0.0016504713011374714,0.0020208693905765214,0.7664602246343446
42,2007-11-01,2016-02-01,0.0005229168868319839,0.0016200623992749471,0.0019841462964106343,0.7825091222901219
43,2007-12-01,2016-03-01,0.0009640242848255336,0.001623980587679872,0.0019860262708251116,0.7935014451030511
44,2008-01-01,2016-04-01,0.000990664291960165,0.0019359684014124815,0.002190133580153165,0.771714233300469
45,2008-02-01,2016-05-01,0.0009043272193137706,0.0019885406149224324,0.0022268235281768757,0.7632081949548468
46,2008-03-01,2016-06-01,0.0009043272193137706,0.00245126027907601,0.0032451065304601435,0.6045652636614509
47,2008-04-01,2016-07-01,0.001277488793625176,0.002544550672653861,0.0033072711087384736,0.6086952000150145
48,2008-05-01,2016-08-01,0.0017621997794820367,0.002912023012930252,0.0036226298211602323,0.5841929111192541
49,2008-06-01,2016-09-01,0.0017621997794820367,0.0028283050411414203,0.003611997064649201,0.5862412962001696
50,2008-07-01,2016-10-01,0.0019083060467607973,0.002897280315446533,0.00366079384791326,0.5581742959751195
51,2008-08-01,2016-11-01,0.0022154964547600746,0.0029740779174463523,0.0036874509991262155,0.5311281575186395
52,2008-09-01,2016-12-01,0.002284002264742702,0.003235327438277222,0.003938162122186905,0.42691216190368664
53,2008-10-01,2017-01-01,0.0020497193833757116,0.003327848683119213,0.00398769590550568,0.4123038121516417
54,2008-11-01,2017-02-01,0.0011284094347907008,0.0027461413582445587,0.0030741907399321772,0.5025649994744059
55,2008-12-01,2017-03-01,0.0019036131160969508,0.002429236774548812,0.002938348255651376,0.5097149788947275
56,2009-01-01,2017-04-01,0.0015985418421534004,0.0020462343349492377,0.0025305554515232345,0.5577420756216529
57,2009-02-01,2017-05-01,0.0009215989837582112,0.002433494276042899,0.002774876713833958,0.5160938571892868
58,2009-03-01,2017-06-01,0.0016007997548419535,0.0021318855133795416,0.0025902567273833306,0.5664715928971713
59,2009-04-01,2017-07-01,0.0010750739900551739,0.0023752691766880285,0.002820218057292826,0.4737800582534861
60,2009-05-01,2017-08-01,0.0008217059885732309,0.0021144005468018484,0.0024584133753135858,0.5796834209218257
61,2009-06-01,2017-09-01,0.001377863146627337,0.0019128297184029372,0.0023160991899719803,0.6567775336832066
62,2009-07-01,2017-10-01,0.0017481169586053488,0.0016758151032133552,0.00207080711322154,0.6887999560816231
63,2009-08-01,2017-11-01,0.0018030234555425641,0.0018407143806330338,0.00212431459834832,0.6733768905230434
64,2009-09-01,2017-12-01,0.0011168694328548908,0.0016691758749611155,0.0020675745052457705,0.7025795317016436
65,2009-10-01,2018-01-01,0.0006645618745844961,0.0014262114374493135,0.0017835774437353884,0.7557344859834019
66,2009-11-01,2018-02-01,0.0006941577197220176,0.0014134373123286326,0.001780821391672916,0.7616335899069546
67,2009-12-01,2018-03-01,0.0006430204979841708,0.00100792251396871,0.0012744677206301873,0.8889648086222909
68,2010-01-01,2018-04-01,0.0006430204979841708,0.0007059762048069424,0.0008793302035224078,0.9475464779039452
69,2010-02-01,2018-05-01,0.0006367493446718007,0.0006875127244565674,0.000862254792004581,0.9458312908986041
70,2010-03-01,2018-06-01,0.0004664778005567788,0.0012080734244192752,0.002070679067845817,0.7195484934190329
71,2010-04-01,2018-07-01,0.0004664778005567788,0.0015221931744593444,0.002432912746205506,0.6134868767672984
72,2010-05-01,2018-08-01,0.0007401991112108229,0.0017440415709283788,0.0025131572902659044,0.5609551836550053
73,2010-06-01,2018-09-01,0.001256692773206264,0.0019483418570049615,0.0026781400504307055,0.49882254337550846
74,2010-07-01,2018-10-01,0.001753839361889303,0.002122385414979498,0.002744234295198739,0.4629464511888566
75,2010-08-01,2018-11-01,0.0019209134004226922,0.0024506905098588268,0.0029292547832966863,0.344333146168301
76,2010-09-01,2018-12-01,0.002387391200979471,0.0026953039605802126,0.003026184090763609,0.397211498502128
77,2010-10-01,2019-01-01,0.0025351468565181605,0.0028173877733964677,0.0030750004663612075,0.39641853655131165
78,2010-11-01,2019-02-01,0.00151201230157423,0.002457171083076167,0.0025575437604783524,0.5543335673577908
79,2010-12-01,2019-03-01,0.0013549853365496546,0.002417914341820023,0.002500166380228128,0.6332504811778343
80,2011-01-01,2019-04-01,0.0013549853365496546,0.0027341417877528957,0.0028596869639882978,0.6268556458153602
81,2011-02-01,2019-05-01,0.0013549853365496546,0.0026134335644079063,0.002755186099604101,0.6796076842346038
82,2011-03-01,2019-06-01,0.0011386734548651317,0.002682113324458375,0.002804609803731153,0.6631618944782032
83,2011-04-01,2019-07-01,0.0011386734548651317,0.0025696474626855353,0.002704079364095888,0.6819414388320479
84,2011-05-01,2019-08-01,0.002136082622089774,0.0023202951708793753,0.002594813809838535,0.6888865747037141
85,2011-06-01,2019-09-01,0.002215588738343403,0.002300418641815968,0.0025823081508128524,0.6911750691608296
86,2011-07-01,2019-10-01,0.0021114283235400917,0.00209147034682697,0.002434969017972536,0.720681321031317
87,2011-08-01,2019-11-01,0.001472670484927252,0.0018843221424652485,0.0021922838054827735,0.7443277551305545
88,2011-09-01,2019-12-01,0.001363799914885372,0.0014698304809523596,0.0016143670828070767,0.8170561866006745
89,2011-10-01,2020-01-01,0.0006927798318684698,0.001367207815721355,0.0015135011854794818,0.8162532038397178
90,2011-11-01,2020-02-01,0.0005028864727838784,0.0012560078238631114,0.0013724445068877896,0.8488600745559556
91,2011-12-01,2020-03-01,0.0005028864727838784,0.0013685275916229074,0.0015613163771856686,0.8086626335659024
92,2012-01-01,2020-04-01,0.0004061331179954857,0.010744072556690982,0.026621637897780714,0.06294535278148106
93,2012-02-01,2020-05-01,0.001633774427753522,0.024643506121930996,0.04793046765762966,0.05565524183612003
94,2012-03-01,2020-06-01,0.0034583744548678536,0.02989212773212491,0.05027434347823393,0.041487037101697766
95,2012-04-01,2020-07-01,0.023978470808284684,0.036406806224599846,0.05377321288947918,0.035676386925144965
96,2012-05-01,2020-08-01,0.03078251804544957,0.03883590175567159,0.05425495595370948,0.04031240173140027
97,2012-06-01,2020-09-01,0.026138329268493313,0.039715281216313764,0.05433017811476929,0.039756003388772165
98,2012-07-01,2020-10-01,0.02592903866466795,0.03995844517116304,0.05434073188477318,0.04135739142521211
99,2012-08-01,2020-11-01,0.025068259814122845,0.040225962534755653,0.05436033357507289,0.04213909905871571
100,2012-09-01,2020-12-01,0.008548823421249388,0.03164291043886292,0.0474768953209658,0.0409530500365497
101,2012-10-01,2021-01-01,0.004636001277700058,0.01780762328100013,0.025800564418635867,0.011720361902898602
102,2012-11-01,2021-02-01,0.004636001277700058,0.01645715487618115,0.02375561541111055,-0.19094228472939534
103,2012-12-01,2021-03-01,0.0030813848658690973,0.01007867189159535,0.014175382525645144,-0.789514902252832
104,2013-01-01,2021-04-01,0.0024153952623760695,0.008261009129947202,0.012373688892925042,-1.5669994870941735
105,2013-02-01,2021-05-01,0.0027732579415306368,0.015628864715425628,0.026601862635049222,-9.983524899629474
106,2013-03-01,2021-06-01,0.005827505105830423,0.01555969748280737,0.02659392013235082,-10.26631683724231
107,2013-04-01,2021-07-01,0.005503534279288583,0.015478704776171909,0.026579515411275206,-10.12844800303566
108,2013-05-01,2021-08-01,0.0061079607506814675,0.015496416933139282,0.026583896099112474,-12.014594791008088
