sstart,ssample_start_date,ssample_end_date,mad,mae,rmse,r_sq
0,2004-05-01,2012-08-01,0.0019109032273405793,0.0020021104173966508,0.0023194547456039088,0.5240735736054428
1,2004-06-01,2012-09-01,0.0024528238504606483,0.0023118824053262634,0.0024796201571379893,0.5067548600408733
2,2004-07-01,2012-10-01,0.0012280647419506013,0.002671580243371598,0.0027990565710001385,0.35189668094506144
3,2004-08-01,2012-11-01,0.0006223601137621106,0.0026744415062835395,0.0028006628979286197,0.3837499158371448
4,2004-09-01,2012-12-01,0.0016641505065919755,0.0026382998673201976,0.0027675982265042984,0.4892204762601945
5,2004-10-01,2013-01-01,0.0004360857646413742,0.0022703817435035644,0.002338482818800615,0.6425810792274358
6,2004-11-01,2013-02-01,0.0016641505065919755,0.0023209656003073094,0.002384356927956499,0.6522283527823816
7,2004-12-01,2013-03-01,0.0017584126583294864,0.0018120005040403724,0.0019180918380487825,0.7943326208884591
8,2005-01-01,2013-04-01,0.0012484473503243327,0.0021994909838372587,0.0023777135713157083,0.6984338859655101
9,2005-02-01,2013-05-01,0.002279209002260924,0.0020243170253242374,0.002224013412269665,0.6969330129566975
10,2005-03-01,2013-06-01,0.0015696800234028096,0.0016933256954731347,0.0020326623255514844,0.7472294679778576
11,2005-04-01,2013-07-01,0.001177929992534399,0.0019399046150119128,0.0023567372324464135,0.7087659659338
12,2005-05-01,2013-08-01,0.00309796174786672,0.0028325739445020526,0.0032840925786964373,0.48011268827363984
13,2005-06-01,2013-09-01,0.001177929992534399,0.002191421206466219,0.0028864288925536997,0.6170246915174777
14,2005-07-01,2013-10-01,0.002361529063188165,0.002409691182660571,0.0030429913192900377,0.5918675926843766
15,2005-08-01,2013-11-01,0.002320735191400647,0.002855388383004299,0.0032576386996195817,0.5960252466500737
16,2005-09-01,2013-12-01,0.002320735191400647,0.00250727115023205,0.0029632221216122964,0.5841278516013956
17,2005-10-01,2014-01-01,0.002320735191400647,0.00317706974999134,0.004235375763161069,0.2727813667791812
18,2005-11-01,2014-02-01,0.001629715397863358,0.003323432483056301,0.0042586931040893335,0.20157993644923689
19,2005-12-01,2014-03-01,0.0024240018398067947,0.003482289771444988,0.00437168734461311,0.27194779996626217
20,2006-01-01,2014-04-01,0.0020396252034579516,0.0031554263400729895,0.004233864783403146,0.19508272368244728
21,2006-02-01,2014-05-01,0.0020396252034579516,0.0030208678333549263,0.00418836584972789,0.24553934031340974
22,2006-03-01,2014-06-01,0.0006941749995096921,0.0016750740887364628,0.001921195540050988,0.7852290736132379
23,2006-04-01,2014-07-01,0.0007944528497884351,0.0019818033735505593,0.002191105548172935,0.7191344454176212
24,2006-05-01,2014-08-01,0.0014886278492981272,0.0022494969411137357,0.0026486163972770215,0.4494870341426562
25,2006-06-01,2014-09-01,0.0014886278492981272,0.002763473265245225,0.003059577407747757,0.35292542916979197
26,2006-07-01,2014-10-01,0.0009815837088370328,0.0030986250069145694,0.003263682250958023,0.41709634562585984
27,2006-08-01,2014-11-01,0.0011539261126887797,0.00306415652614422,0.0032457259521591225,0.4392379986401944
28,2006-09-01,2014-12-01,0.0028641879446246925,0.0027998904293205797,0.0030858285726392573,0.5024762999593684
29,2006-10-01,2015-01-01,0.0017689638996902708,0.0018708148727996175,0.002215821702472508,0.7428815555554944
30,2006-11-01,2015-02-01,0.0017689638996902708,0.0020911749251557414,0.002593203734865213,0.6965934023502272
31,2006-12-01,2015-03-01,0.0005917920119707697,0.0016887962499296508,0.002304446248824228,0.7070691326785701
32,2007-01-01,2015-04-01,0.0010952240449344217,0.00205282597633427,0.002672970564569691,0.5904173918871036
33,2007-02-01,2015-05-01,0.0011727588810396903,0.0018861336163056037,0.0026201838522787266,0.6082930302953391
34,2007-03-01,2015-06-01,0.0019521196963022537,0.002394915957960208,0.002884799204770924,0.5747318345450663
35,2007-04-01,2015-07-01,0.0019521196963022537,0.0019307338051648103,0.0022505660686511554,0.683238813524047
36,2007-05-01,2015-08-01,0.0017449726523096265,0.0019721632139633356,0.0022662500422891904,0.6887692908272371
37,2007-06-01,2015-09-01,0.001806381868484672,0.0017318104551313808,0.0019432323618477055,0.7589318935845899
38,2007-07-01,2015-10-01,0.0031862877935169894,0.0026087315408851765,0.002891385808717464,0.6133980605448865
39,2007-08-01,2015-11-01,0.003119385758659001,0.002246356603451654,0.002656561390831696,0.6403712478770889
40,2007-09-01,2015-12-01,0.002068443521902859,0.002012140260223766,0.002496353019618157,0.6649700717381926
41,2007-10-01,2016-01-01,0.0015354477439334354,0.001958891722899552,0.0024786838403798367,0.6459331348602154
42,2007-11-01,2016-02-01,0.0015839380147255658,0.0020157180973444434,0.002532431493604645,0.685784903952707
43,2007-12-01,2016-03-01,0.0015839380147255658,0.001354154628721547,0.0014975419984792889,0.8623847682965328
44,2008-01-01,2016-04-01,0.0018195796161578895,0.0016490138101409196,0.0017897367989146693,0.8448582816482596
45,2008-02-01,2016-05-01,0.0018195796161578895,0.0018117992554683834,0.001928415542166584,0.8184328376080436
46,2008-03-01,2016-06-01,0.0034888840578803566,0.003303163454957488,0.004111515696028388,0.5339322795942538
