tau,winner,challenger,DM,p,Sig,conclusion,delta_loss_mean,n,DM_MODE,SHIFT_MODE,HAC_lag,window_start,window_end
1,LightGBM,GBM,-5.231242809038183,8.432168179250965e-07,***,LightGBM better,1.5561830213500706e-06,108,raw_mse,TARGET,0,2012-08,2021-07
1,LightGBM,XGBoost,-4.638778349573063,9.971319613999441e-06,***,LightGBM better,9.565352130218012e-06,108,raw_mse,TARGET,0,2012-08,2021-07
1,LightGBM,CatBoost,-3.9923009343656513,0.00012023245260395221,***,LightGBM better,4.549324025064161e-06,108,raw_mse,TARGET,0,2012-08,2021-07
1,LightGBM,Random Forest,-2.278725800199002,0.024668835022242153,**,LightGBM better,2.2444779091355105e-06,108,raw_mse,TARGET,0,2012-08,2021-07
3,LightGBM,GBM,-4.256329110779614,4.472767626162444e-05,***,LightGBM better,-2.0181728353244727e-05,108,raw_mse,TARGET,2,2012-08,2021-07
3,LightGBM,XGBoost,-2.9835965394630697,0.0035294922477164814,***,LightGBM better,-9.303957826526044e-05,108,raw_mse,TARGET,2,2012-08,2021-07
3,LightGBM,CatBoost,-5.836588947380115,5.7679969911461626e-08,***,LightGBM better,-1.743503714247104e-05,108,raw_mse,TARGET,2,2012-08,2021-07
3,LightGBM,Random Forest,-3.196944221224874,0.0018265213898311927,***,LightGBM better,-1.796104415958982e-05,108,raw_mse,TARGET,2,2012-08,2021-07
6,LightGBM,GBM,-5.544539101491749,2.1427694396614072e-07,***,LightGBM better,-1.6603388157326634e-05,108,raw_mse,TARGET,5,2012-08,2021-07
6,LightGBM,XGBoost,-4.4626735819258,2.0096287755899667e-05,***,LightGBM better,-2.1453611966990513e-05,108,raw_mse,TARGET,5,2012-08,2021-07
6,LightGBM,CatBoost,-4.962209363924273,2.6426213466379522e-06,***,LightGBM better,-1.0797010139414627e-05,108,raw_mse,TARGET,5,2012-08,2021-07
6,LightGBM,Random Forest,-5.024382088101708,2.035471969197289e-06,***,LightGBM better,-9.530787898825432e-06,108,raw_mse,TARGET,5,2012-08,2021-07
9,LightGBM,GBM,-4.828698264932072,4.60044410255378e-06,***,LightGBM better,-9.449099993625354e-06,108,raw_mse,TARGET,8,2012-08,2021-07
9,LightGBM,XGBoost,-5.202600523461589,9.537346346011333e-07,***,LightGBM better,-4.334915824293316e-05,108,raw_mse,TARGET,8,2012-08,2021-07
9,LightGBM,CatBoost,-6.3807079633075245,4.615536175478496e-09,***,LightGBM better,-2.206820480270008e-06,108,raw_mse,TARGET,8,2012-08,2021-07
9,LightGBM,Random Forest,-5.633771965876213,1.439920129797656e-07,***,LightGBM better,-5.049502175201352e-06,108,raw_mse,TARGET,8,2012-08,2021-07
