Horizon,Metric,Model,Median,IQR,N
tau_1,mad,ARIMA,0.191740892554415,0.08675632188584118,110
tau_1,mad,CatBoost,0.23991369296714748,0.12146050680852621,110
tau_1,mad,GBM,0.2480857127769775,0.12546293029161998,110
tau_1,mad,LightGBM,0.22104065647058502,0.09015884176470498,110
tau_1,mad,Random Forest,0.232332233372105,0.08480273125899129,110
tau_1,mad,XGBoost,0.255773006461985,0.09692640153821006,110
tau_1,mae,ARIMA,0.2505740558771803,0.11937638032908418,110
tau_1,mae,CatBoost,0.28888568845072293,0.09122063684192047,110
tau_1,mae,GBM,0.2688048314379754,0.11563431766949478,110
tau_1,mae,LightGBM,0.25068740303921455,0.10474992299020025,110
tau_1,mae,Random Forest,0.27023940687296544,0.0799016625198419,110
tau_1,mae,XGBoost,0.286111254020735,0.10075972428203311,110
tau_1,r_sq,ARIMA,0.03827366345480798,0.2154510853558935,110
tau_1,r_sq,CatBoost,-0.11428163814307157,0.3303169396672684,110
tau_1,r_sq,GBM,-0.1220601163278372,0.5153032426567956,110
tau_1,r_sq,LightGBM,0.07551327375416755,0.12204993351045831,110
tau_1,r_sq,Random Forest,-0.06901296935128243,0.2368203286839428,110
tau_1,r_sq,XGBoost,-0.29734308828705747,0.5119880109215758,110
tau_1,rmse,ARIMA,0.3064385188048599,0.14216907834998072,110
tau_1,rmse,CatBoost,0.347977486743491,0.14955750729682377,110
tau_1,rmse,GBM,0.3375443779740325,0.1803697398512139,110
tau_1,rmse,LightGBM,0.3007902055738333,0.1471593178296377,110
tau_1,rmse,Random Forest,0.32007703640908536,0.11803421591269092,110
tau_1,rmse,XGBoost,0.3493647115521175,0.1312682488390325,110
tau_3,mad,ARIMA,0.2132535203726,0.09708324336141505,108
tau_3,mad,CatBoost,0.21703925410727248,0.15135343761640752,108
tau_3,mad,GBM,0.200886820680125,0.12956001274412504,108
tau_3,mad,LightGBM,0.22522753235293497,0.09783562764706003,108
tau_3,mad,Random Forest,0.21121047201924248,0.11753045406773999,108
tau_3,mad,XGBoost,0.233238933713695,0.12335642524629628,108
tau_3,mae,ARIMA,0.2535682286512709,0.1057083477444477,108
tau_3,mae,CatBoost,0.2871603910574646,0.11627881835171175,108
tau_3,mae,GBM,0.26687920347330185,0.11000145680696577,108
tau_3,mae,LightGBM,0.251306754215685,0.1041686927205896,108
tau_3,mae,Random Forest,0.2640160330856367,0.10693309877704599,108
tau_3,mae,XGBoost,0.26791734926797334,0.11420652577503107,108
tau_3,r_sq,ARIMA,0.06233577694144227,0.15780570281420972,108
tau_3,r_sq,CatBoost,-0.20781318462690868,0.2800538474148492,108
tau_3,r_sq,GBM,-0.28596307169800284,0.4517942138085955,108
tau_3,r_sq,LightGBM,0.08209989339976931,0.12136533532267785,108
tau_3,r_sq,Random Forest,-0.14500347036731165,0.22911197926486448,108
tau_3,r_sq,XGBoost,-0.3256481543637716,0.2769865893681739,108
tau_3,rmse,ARIMA,0.30413138612570484,0.14558645233639228,108
tau_3,rmse,CatBoost,0.3532110542990461,0.13829270889031758,108
tau_3,rmse,GBM,0.32562277900911324,0.18729219205077768,108
tau_3,rmse,LightGBM,0.3020948472776716,0.15017907961834384,108
tau_3,rmse,Random Forest,0.3161937265921203,0.1523094078947359,108
tau_3,rmse,XGBoost,0.3204659942533279,0.1724486998182468,108
tau_6,mad,ARIMA,0.22457670269275,0.09490989178969494,105
tau_6,mad,CatBoost,0.23924633551487498,0.08213467059335677,105
tau_6,mad,GBM,0.231013195102855,0.09101949207994997,105
tau_6,mad,LightGBM,0.22184225176470002,0.11617985647059503,105
tau_6,mad,Random Forest,0.25252551031391507,0.08188462051970502,105
tau_6,mad,XGBoost,0.2453577569704,0.12041346754414498,105
tau_6,mae,ARIMA,0.25709588317861837,0.09839497846856171,105
tau_6,mae,CatBoost,0.2828268903732225,0.08765269023669964,105
tau_6,mae,GBM,0.26986427665755125,0.10539200545588162,105
tau_6,mae,LightGBM,0.25642625911764666,0.10127119764706077,105
tau_6,mae,Random Forest,0.2715528238569662,0.09565346782669504,105
tau_6,mae,XGBoost,0.26907925623808715,0.12112135245054917,105
tau_6,r_sq,ARIMA,0.07109808776846194,0.14921095978083776,105
tau_6,r_sq,CatBoost,-0.07838322775518036,0.1836143930661963,105
tau_6,r_sq,GBM,-0.1560699658921425,0.4627553041125795,105
tau_6,r_sq,LightGBM,0.08967135201828991,0.1313741973270099,105
tau_6,r_sq,Random Forest,-0.08445605137759649,0.33848707532769995,105
tau_6,r_sq,XGBoost,-0.15070215179389557,0.48872606096863747,105
tau_6,rmse,ARIMA,0.30286833045229383,0.1350801221549938,105
tau_6,rmse,CatBoost,0.3377485219079389,0.11688243304263668,105
tau_6,rmse,GBM,0.33550173057708804,0.14284765273248595,105
tau_6,rmse,LightGBM,0.3026310280958873,0.1338056711893924,105
tau_6,rmse,Random Forest,0.31455180730766846,0.1557153571284115,105
tau_6,rmse,XGBoost,0.3192374418223792,0.1667698458391359,105
tau_9,mad,ARIMA,0.22473104123368498,0.12059115168770002,102
tau_9,mad,CatBoost,0.248305329012885,0.07014875286549371,102
tau_9,mad,GBM,0.259781995058005,0.12925257185287997,102
tau_9,mad,LightGBM,0.22719750205883,0.11164222823529504,102
tau_9,mad,Random Forest,0.26297930566717,0.12387134294044,102
tau_9,mad,XGBoost,0.275857209616665,0.09726902936675,102
tau_9,mae,ARIMA,0.2574315308589421,0.09853854575532187,102
tau_9,mae,CatBoost,0.28096440866646655,0.10262820933788624,102
tau_9,mae,GBM,0.28011255001249,0.1388801581810667,102
tau_9,mae,LightGBM,0.2561117233333342,0.09594981308823519,102
tau_9,mae,Random Forest,0.27576424043855835,0.12816807936645622,102
tau_9,mae,XGBoost,0.28305745573926744,0.12671548172027372,102
tau_9,r_sq,ARIMA,0.06709024824954968,0.10931631770572325,102
tau_9,r_sq,CatBoost,-0.023658952131317523,0.24918220896725662,102
tau_9,r_sq,GBM,-0.19735906283055804,0.5083510730046367,102
tau_9,r_sq,LightGBM,0.08914823076654987,0.14049594679050176,102
tau_9,r_sq,Random Forest,-0.08730557086572222,0.3660140670178338,102
