tau,winner,challenger,DM,p,Sig,conclusion,delta_loss_mean,n,DM_MODE,SHIFT_MODE,HAC_lag,window_start,window_end
1,CatBoost,GBM,0.7846126327228524,0.4344143887846952,,No significant difference,4.413681320423281e-05,108,raw_mse,TARGET,0,2012-08,2021-07
1,CatBoost,XGBoost,-1.4245660129023077,0.15719279809646447,,No significant difference,1.3973204983077856e-05,108,raw_mse,TARGET,0,2012-08,2021-07
1,CatBoost,Random Forest,1.5039524209714596,0.1355396099354631,,No significant difference,2.053450454186188e-05,108,raw_mse,TARGET,0,2012-08,2021-07
1,CatBoost,LightGBM,-3.7138677673941762,0.00032619239832398783,***,CatBoost better,-7.859294225824208e-05,108,raw_mse,TARGET,0,2012-08,2021-07
1,CatBoost,ARIMA,-4.0830006029410875,8.599401856468347e-05,***,CatBoost better,-0.0004304887746397271,108,raw_mse,TARGET,0,2012-08,2021-07
3,CatBoost,GBM,-2.5188064719795085,0.013254501818681375,**,CatBoost better,5.617698621218797e-10,108,raw_mse,TARGET,2,2012-08,2021-07
3,CatBoost,XGBoost,-1.5798477884605473,0.1170934668327146,,No significant difference,-2.7631136179300635e-05,108,raw_mse,TARGET,2,2012-08,2021-07
3,CatBoost,Random Forest,-0.7125627197696223,0.4776673738660262,,No significant difference,-6.430839826926417e-07,108,raw_mse,TARGET,2,2012-08,2021-07
3,CatBoost,LightGBM,-4.548298913188914,1.4322152205759053e-05,***,CatBoost better,-2.6597581377679735e-05,108,raw_mse,TARGET,2,2012-08,2021-07
3,CatBoost,ARIMA,-4.3334401174983235,3.3259462766555004e-05,***,CatBoost better,-0.0007820878695980165,108,raw_mse,TARGET,2,2012-08,2021-07
6,XGBoost,GBM,-1.6860983875575701,0.09469075151040873,*,XGBoost better,5.1255431690785904e-05,108,raw_mse,TARGET,5,2012-08,2021-07
6,XGBoost,CatBoost,1.4072328077020855,0.16225659585728036,,No significant difference,5.039374210154945e-05,108,raw_mse,TARGET,5,2012-08,2021-07
6,XGBoost,Random Forest,1.4039697121268346,0.1632237019157463,,No significant difference,5.009531004673441e-05,108,raw_mse,TARGET,5,2012-08,2021-07
6,XGBoost,LightGBM,-3.7175482447872494,0.00032201714857116315,***,XGBoost better,2.5861086853278206e-05,108,raw_mse,TARGET,5,2012-08,2021-07
6,XGBoost,ARIMA,-4.239740277580033,4.765046551979957e-05,***,XGBoost better,-0.003395456639448616,108,raw_mse,TARGET,5,2012-08,2021-07
9,GBM,XGBoost,-1.1175704845975134,0.2662535071681944,,No significant difference,-4.9509039521787606e-05,108,raw_mse,TARGET,8,2012-08,2021-07
9,GBM,CatBoost,0.5498944715577276,0.583537769358792,,No significant difference,1.6229397114675916e-07,108,raw_mse,TARGET,8,2012-08,2021-07
9,GBM,Random Forest,-1.2145528191854171,0.227210289076333,,No significant difference,-1.9599472936122668e-06,108,raw_mse,TARGET,8,2012-08,2021-07
9,GBM,LightGBM,-0.7664903428990971,0.44507236858282617,,No significant difference,-2.4040886461249254e-05,108,raw_mse,TARGET,8,2012-08,2021-07
9,GBM,ARIMA,-3.795305444673283,0.0002448063704438841,***,GBM better,-0.017547614859943772,108,raw_mse,TARGET,8,2012-08,2021-07
