Horizon,Metric,Model,Median,IQR,N
tau_1,mad,ARIMA,0.191740892554415,0.08675632188584118,110
tau_1,mad,CatBoost,0.1962629810089275,0.09393667320935123,110
tau_1,mad,GBM,0.21573082821547995,0.07137975563237497,110
tau_1,mad,LightGBM,0.24948023046708004,0.07499135799163245,110
tau_1,mad,Random Forest,0.19616220470543,0.07920974748477747,110
tau_1,mad,XGBoost,0.2260482178751441,0.10830242982376873,110
tau_1,mae,ARIMA,0.2505740558771803,0.11937638032908418,110
tau_1,mae,CatBoost,0.22513459836627747,0.08367948903486694,110
tau_1,mae,GBM,0.23412642469901962,0.09237962466840449,110
tau_1,mae,LightGBM,0.2583643139636746,0.09410530997240846,110
tau_1,mae,Random Forest,0.22502616704356998,0.08833865450780712,110
tau_1,mae,XGBoost,0.2388741174008723,0.08056129316227101,110
tau_1,r_sq,ARIMA,0.03827366345480798,0.2154510853558935,110
tau_1,r_sq,CatBoost,0.33659866881135264,0.13797990399361693,110
tau_1,r_sq,GBM,0.3039564493890287,0.27683611428104493,110
tau_1,r_sq,LightGBM,0.1703079782816428,0.14200385011515773,110
tau_1,r_sq,Random Forest,0.32855688310841835,0.15536613508743813,110
tau_1,r_sq,XGBoost,0.27779538137107396,0.2236850662545809,110
tau_1,rmse,ARIMA,0.3064385188048599,0.14216907834998072,110
tau_1,rmse,CatBoost,0.273309316329327,0.09156496061090713,110
tau_1,rmse,GBM,0.2747034012941413,0.10970880468188687,110
tau_1,rmse,LightGBM,0.29801328743076716,0.12497934796227561,110
tau_1,rmse,Random Forest,0.27696420566229984,0.09838409693159123,110
tau_1,rmse,XGBoost,0.29414283798134155,0.09018268922028255,110
tau_3,mad,ARIMA,0.2132535203726,0.09708324336141505,108
tau_3,mad,CatBoost,0.20503548905257885,0.09450219550402697,108
tau_3,mad,GBM,0.20666708189082747,0.10834599616943505,108
tau_3,mad,LightGBM,0.22833666084332002,0.09346700532606747,108
tau_3,mad,Random Forest,0.215093415183335,0.074628352239935,108
tau_3,mad,XGBoost,0.20000945799731495,0.05377377588078999,108
tau_3,mae,ARIMA,0.2535682286512709,0.1057083477444477,108
tau_3,mae,CatBoost,0.22673400286295117,0.06732945244814786,108
tau_3,mae,GBM,0.22479878013005739,0.07107419744290691,108
tau_3,mae,LightGBM,0.26035526043352997,0.06422840774989547,108
tau_3,mae,Random Forest,0.22490246576947498,0.06003102809421226,108
tau_3,mae,XGBoost,0.22038275033283,0.04727847096483667,108
tau_3,r_sq,ARIMA,0.06233577694144227,0.15780570281420972,108
tau_3,r_sq,CatBoost,0.15447761282241468,0.21982747448745574,108
tau_3,r_sq,GBM,0.10743443478766673,0.2058260614876092,108
tau_3,r_sq,LightGBM,0.06566189124698568,0.5722043021596703,108
tau_3,r_sq,Random Forest,0.23172371166987948,0.20134596459460843,108
tau_3,r_sq,XGBoost,0.1617557501711801,0.28109377894790283,108
tau_3,rmse,ARIMA,0.30413138612570484,0.14558645233639228,108
tau_3,rmse,CatBoost,0.26882369649011445,0.09789505419446506,108
tau_3,rmse,GBM,0.2769601660677452,0.08761602254198869,108
tau_3,rmse,LightGBM,0.3108251660756147,0.08600791818037035,108
tau_3,rmse,Random Forest,0.2712023132097038,0.09814184446648333,108
tau_3,rmse,XGBoost,0.2708724639681996,0.07415755541116975,108
tau_6,mad,ARIMA,0.22457670269275,0.09490989178969494,105
tau_6,mad,CatBoost,0.21289200195312497,0.05899250130793704,105
