tau,Model,rolling_rmse_median,rolling_rmse_iqr,rolling_pts
1,GBM,0.2767952082125543,0.1268730864205527,97
1,XGBoost,0.29679142870479597,0.11630019418166779,97
1,CatBoost,0.2741844451289008,0.0963348910938834,97
1,Random Forest,0.28019010338359157,0.0965264698203576,97
1,LightGBM,0.2937596103029321,0.13873050427182476,97
1,ARIMA,0.31840637361774377,0.13056137557109043,97
3,GBM,0.28559728476890744,0.09519879245119159,97
3,XGBoost,0.27843206016205985,0.08130615034585885,97
3,CatBoost,0.2729498845792115,0.10993914120517434,97
3,Random Forest,0.2739238194680431,0.11499814264286078,97
3,LightGBM,0.29929565597238833,0.08718472607070564,97
3,ARIMA,0.31054963945639535,0.13483745324362026,97
6,GBM,0.2897380899161594,0.0882021431810732,97
6,XGBoost,0.26755411260256234,0.08091296484268722,97
6,CatBoost,0.27890061747072964,0.08138118610692235,97
6,Random Forest,0.26957212510745465,0.09511519019815227,97
6,LightGBM,0.30180807686468814,0.10116371659482028,97
6,ARIMA,0.3053160797915537,0.12195845295517997,97
9,GBM,0.27172980799366364,0.10269874789989057,97
9,XGBoost,0.2810101766807961,0.10119957979294272,97
9,CatBoost,0.3019182854087876,0.08566710158955516,97
9,Random Forest,0.2848947486689698,0.0765149339533208,97
9,LightGBM,0.28617843138036647,0.12005890368368047,97
9,ARIMA,0.3058463828565557,0.12271097637311101,97
