Horizon,Metric,Model,Median,IQR,N
tau_1,rmse,CatBoost,0.2729133525463635,0.0973039035072048,110
tau_1,rmse,LightGBM,0.3006133742572968,0.10693480909789643,110
tau_1,rmse,Random Forest,0.27547874782010207,0.09885880970089653,110
tau_1,rmse,GBM,0.2747034012941413,0.11115238522024579,110
tau_1,rmse,XGBoost,0.29414283798134155,0.09541771097489482,110
tau_1,rmse,ARIMA,0.3064385188048599,0.14216907834998072,110
tau_1,mae,CatBoost,0.22520416455717585,0.08863768347760884,110
tau_1,mae,LightGBM,0.2588563473831671,0.07531376105649021,110
tau_1,mae,Random Forest,0.22261285665815916,0.08654447749359251,110
tau_1,mae,GBM,0.2356144792948867,0.09345871990001015,110
tau_1,mae,XGBoost,0.23732930057876916,0.08847038762669499,110
tau_1,mae,ARIMA,0.2505740558771803,0.11937638032908418,110
tau_1,mad,CatBoost,0.19438834367443,0.09347683807418,110
tau_1,mad,LightGBM,0.24990682647975,0.06361511888259003,110
tau_1,mad,Random Forest,0.19490836888991503,0.11945464677025999,110
tau_1,mad,GBM,0.21573082821547995,0.08892116886366,110
tau_1,mad,XGBoost,0.22798032159420498,0.11514654573443506,110
tau_1,mad,ARIMA,0.191740892554415,0.08675632188584118,110
tau_1,r_sq,CatBoost,0.31384899881065276,0.13637137790128132,110
tau_1,r_sq,LightGBM,0.158619937450116,0.18986577645628244,110
tau_1,r_sq,Random Forest,0.328180313910855,0.24124522866115006,110
tau_1,r_sq,GBM,0.3221167705135521,0.2584583280607592,110
tau_1,r_sq,XGBoost,0.29191640600759683,0.28328661761073093,110
tau_1,r_sq,ARIMA,0.03827366345480798,0.2154510853558935,110
tau_3,rmse,CatBoost,0.26434480896449286,0.07088794622933053,108
tau_3,rmse,LightGBM,0.2841126423570264,0.0914263232636996,108
tau_3,rmse,Random Forest,0.2712023132097038,0.07989632975130462,108
tau_3,rmse,GBM,0.2716704962877372,0.0600935053623326,108
tau_3,rmse,XGBoost,0.2699012883670828,0.06275505815953805,108
tau_3,rmse,ARIMA,0.30413138612570484,0.14558645233639228,108
tau_3,mae,CatBoost,0.21561724524162376,0.061223586846285205,108
tau_3,mae,LightGBM,0.24423674042258126,0.06841040766076475,108
tau_3,mae,Random Forest,0.22353598805594166,0.06252782486151734,108
tau_3,mae,GBM,0.21768630097871333,0.06576619709789755,108
tau_3,mae,XGBoost,0.21905680996654042,0.05446598123303392,108
tau_3,mae,ARIMA,0.2535682286512709,0.1057083477444477,108
tau_3,mad,CatBoost,0.19482810446333249,0.08107670464769495,108
tau_3,mad,LightGBM,0.222194511652145,0.08761621760945495,108
tau_3,mad,Random Forest,0.215093415183335,0.06765742854083998,108
tau_3,mad,GBM,0.18326599075940306,0.08462639905266747,108
tau_3,mad,XGBoost,0.20122926747939998,0.05906414152392003,108
tau_3,mad,ARIMA,0.2132535203726,0.09708324336141505,108
tau_3,r_sq,CatBoost,0.26214073926043463,0.25695009732904295,108
tau_3,r_sq,LightGBM,0.06970676611683346,0.6329977333150925,108
tau_3,r_sq,Random Forest,0.2782266387636869,0.20021299994311206,108
tau_3,r_sq,GBM,0.20057769591333613,0.2766353510241507,108
tau_3,r_sq,XGBoost,0.2689366823969387,0.31509540680321646,108
tau_3,r_sq,ARIMA,0.06233577694144227,0.15780570281420972,108
tau_6,rmse,CatBoost,0.26879853386342356,0.07274079394085484,105
tau_6,rmse,LightGBM,0.29669611236909077,0.1052610322040998,105
tau_6,rmse,Random Forest,0.26029934728443255,0.09271584472467637,105
tau_6,rmse,GBM,0.2680160360681512,0.0874023656263348,105
tau_6,rmse,XGBoost,0.26163524646951186,0.09867566217255683,105
tau_6,rmse,ARIMA,0.30286833045229383,0.1350801221549938,105
tau_6,mae,CatBoost,0.2213049720406392,0.06607732657095644,105
tau_6,mae,LightGBM,0.2414724345067383,0.10076184296535165,105
tau_6,mae,Random Forest,0.22142858307141916,0.06389048975773998,105
tau_6,mae,GBM,0.22754555004184832,0.06599838229709715,105
tau_6,mae,XGBoost,0.21806367483433414,0.07262500329399593,105
tau_6,mae,ARIMA,0.25709588317861837,0.09839497846856171,105
tau_6,mad,CatBoost,0.21313810785113135,0.061244290990409955,105
tau_6,mad,LightGBM,0.198648371423295,0.10731534002779503,105
tau_6,mad,Random Forest,0.210918097965875,0.04242771402500503,105
tau_6,mad,GBM,0.21207993916770004,0.08467649352592505,105
tau_6,mad,XGBoost,0.19799145006397,0.05917687231939503,105
tau_6,mad,ARIMA,0.22457670269275,0.09490989178969494,105
tau_6,r_sq,CatBoost,0.28749123774328367,0.28541400970134845,105
tau_6,r_sq,LightGBM,0.1965939129637131,0.27392290773683853,105
tau_6,r_sq,Random Forest,0.31774056828128106,0.21242433490240364,105
tau_6,r_sq,GBM,0.2600224714251034,0.29278892728945133,105
tau_6,r_sq,XGBoost,0.2987863711192521,0.3245838475295276,105
tau_6,r_sq,ARIMA,0.07109808776846194,0.14921095978083776,105
tau_9,rmse,CatBoost,0.2965381499138026,0.08791202399365186,102
tau_9,rmse,LightGBM,0.2970414793146241,0.10901289171505155,102
tau_9,rmse,Random Forest,0.28339961166309713,0.07911874361309282,102
tau_9,rmse,GBM,0.27222358847912487,0.10832846090938644,102
tau_9,rmse,XGBoost,0.2795014416177829,0.10524930335317237,102
tau_9,rmse,ARIMA,0.3044894194659349,0.12370691210963125,102
tau_9,mae,CatBoost,0.23897510763872085,0.091372010955794,102
tau_9,mae,LightGBM,0.23406220270600664,0.09604495981999778,102
tau_9,mae,Random Forest,0.23276983564878265,0.06962803550496618,102
tau_9,mae,GBM,0.24057146929346085,0.07754337905457098,102
tau_9,mae,XGBoost,0.23936107952084956,0.07795941100536147,102
tau_9,mae,ARIMA,0.2574315308589421,0.09853854575532187,102
tau_9,mad,CatBoost,0.226341431124425,0.10348743539212377,102
tau_9,mad,LightGBM,0.18681764042384005,0.13009241229103874,102
tau_9,mad,Random Forest,0.2141278824217,0.06767770705039375,102
tau_9,mad,GBM,0.21987147508849852,0.08868269968745995,102
tau_9,mad,XGBoost,0.21789304162974002,0.07159007929366867,102
tau_9,mad,ARIMA,0.22473104123368498,0.12059115168770002,102
tau_9,r_sq,CatBoost,0.21419543086506293,0.3201297332590197,102
tau_9,r_sq,LightGBM,0.10206951121273267,0.5595888423644629,102
tau_9,r_sq,Random Forest,0.2503961428284647,0.2334573043953868,102
tau_9,r_sq,GBM,0.2695231083342636,0.27057349278370496,102
