tau,winner,challenger,DM,p,Sig,conclusion,delta_loss_mean,n,DM_MODE,SHIFT_MODE,HAC_lag,window_start,window_end
1,CatBoost,LightGBM,-2.8690152916205998,0.004961940314591962,***,CatBoost better,-7.867828635290109e-05,108,raw_mse,TARGET,0,2012-08,2021-07
1,CatBoost,ARIMA,-4.258434364776676,4.43693175860016e-05,***,CatBoost better,-0.0004303282387615934,108,raw_mse,TARGET,0,2012-08,2021-07
3,CatBoost,GBM,-2.721597289711105,0.007585712232297093,***,CatBoost better,-7.974041432662499e-08,108,raw_mse,TARGET,2,2012-08,2021-07
3,CatBoost,XGBoost,-3.626141312606434,0.00044232006529232315,***,CatBoost better,-2.795804920412967e-05,108,raw_mse,TARGET,2,2012-08,2021-07
3,CatBoost,Random Forest,-1.9165248815805027,0.05796613238771964,*,CatBoost better,-9.296416083432745e-07,108,raw_mse,TARGET,2,2012-08,2021-07
3,CatBoost,LightGBM,-4.512472579471393,1.651063711904932e-05,***,CatBoost better,-2.6798983259297848e-05,108,raw_mse,TARGET,2,2012-08,2021-07
3,CatBoost,ARIMA,-5.2778904537126206,6.894358608455775e-07,***,CatBoost better,-0.0007827880301596043,108,raw_mse,TARGET,2,2012-08,2021-07
6,Random Forest,LightGBM,-3.330101917943847,0.0011918214605199928,***,Random Forest better,-2.439425630290811e-05,108,raw_mse,TARGET,5,2012-08,2021-07
6,Random Forest,ARIMA,-4.98821390792208,2.3698014302020454e-06,***,Random Forest better,-0.0034458225222772135,108,raw_mse,TARGET,5,2012-08,2021-07
9,GBM,LightGBM,-1.869339998767844,0.06430979812994275,*,GBM better,-2.4241942606687715e-05,108,raw_mse,TARGET,8,2012-08,2021-07
9,GBM,ARIMA,-4.193840620912264,5.6725859442607884e-05,***,GBM better,-0.017547707847793963,108,raw_mse,TARGET,8,2012-08,2021-07
