,1,1,1,1,3,3,3,3,6,6,6,6,9,9,9,9
Model,RMSE (h=1),MAD (×100) (h=1),MAE (×100) (h=1),R^2 (h=1),RMSE (×100) (h=3),MAD (×100) (h=3),MAE (×100) (h=3),R^2 (h=3),RMSE (×100) (h=6),MAD (×100) (h=6),MAE (×100) (h=6),R^2 (h=6),RMSE (×100) (h=9),MAD (×100) (h=9),MAE (×100) (h=9),R^2 (h=9)
ARIMA,"0.3064
(0.1422)","0.1917
(0.0868)","0.2506
(0.1194)","0.0383
(0.2155)","0.3041
(0.1456)","0.2133
(0.0971)","0.2536
(0.1057)","0.0623
(0.1578)","0.3029
(0.1351)","0.2246
(0.0949)","0.2571
(0.0984)","0.0711
(0.1492)","0.3045
(0.1237)","0.2247
(0.1206)","0.2574
(0.0985)","0.0671
(0.1093)"
GBM,"0.2747
(0.1112)","0.2157
(0.0889)","0.2356
(0.0935)","0.3221
(0.2585)","0.2717
(0.0601)","0.1833
(0.0846)","0.2177
(0.0658)","0.2006
(0.2766)","0.2680
(0.0874)","0.2121
(0.0847)","0.2275
(0.0660)","0.2600
(0.2928)","0.2722
(0.1083)","0.2199
(0.0887)","0.2406
(0.0775)","0.2695
(0.2706)"
XGBoost,"0.2941
(0.0954)","0.2280
(0.1151)","0.2373
(0.0885)","0.2919
(0.2833)","0.2699
(0.0628)","0.2012
(0.0591)","0.2191
(0.0545)","0.2689
(0.3151)","0.2616
(0.0987)","0.1980
(0.0592)","0.2181
(0.0726)","0.2988
(0.3246)","0.2795
(0.1052)","0.2179
(0.0716)","0.2394
(0.0780)","0.2400
(0.2655)"
CatBoost,"0.2729
(0.0973)","0.1944
(0.0935)","0.2252
(0.0886)","0.3138
(0.1364)","0.2643
(0.0709)","0.1948
(0.0811)","0.2156
(0.0612)","0.2621
(0.2570)","0.2688
(0.0727)","0.2131
(0.0612)","0.2213
(0.0661)","0.2875
(0.2854)","0.2965
(0.0879)","0.2263
(0.1035)","0.2390
(0.0914)","0.2142
(0.3201)"
Random Forest,"0.2755
(0.0989)","0.1949
(0.1195)","0.2226
(0.0865)","0.3282
(0.2412)","0.2712
(0.0799)","0.2151
(0.0677)","0.2235
(0.0625)","0.2782
(0.2002)","0.2603
(0.0927)","0.2109
(0.0424)","0.2214
(0.0639)","0.3177
(0.2124)","0.2834
(0.0791)","0.2141
(0.0677)","0.2328
(0.0696)","0.2504
(0.2335)"
LightGBM,"0.3006
(0.1069)","0.2499
(0.0636)","0.2589
(0.0753)","0.1586
(0.1899)","0.2841
(0.0914)","0.2222
(0.0876)","0.2442
(0.0684)","0.0697
(0.6330)","0.2967
(0.1053)","0.1986
(0.1073)","0.2415
(0.1008)","0.1966
(0.2739)","0.2970
(0.1090)","0.1868
(0.1301)","0.2341
(0.0960)","0.1021
(0.5596)"
,,,,,,,,,,,,,,,,
,gt ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
